x,variable,value,p,d,ynorm
0.5,zg,30581.529457216846,ah,quannianri,0.027931900350633875
1.5,zg,30874.935473926133,ah,quannianri,0.028199885234531374
2.5,zg,28074.04989097496,ah,quannianri,0.02564167253604722
3.5,zg,22129.311863573166,ah,quannianri,0.020211995435550682
4.5,zg,22378.88849878479,ah,quannianri,0.020439948380622644
5.5,zg,21722.519995520644,ah,quannianri,0.019840448618777273
6.5,zg,22407.722621999517,ah,quannianri,0.020466284272601443
7.5,zg,22100.374795403503,ah,quannianri,0.020185565517920653
8.5,zg,21850.187817982507,ah,quannianri,0.019957055111594315
9.5,zg,21926.23967849322,ah,quannianri,0.020026517726021018
10.5,zg,23366.856944973795,ah,quannianri,0.021342317774119726
11.5,zg,27754.94420252951,ah,quannianri,0.02535021463812069
12.5,zg,28931.87552257462,ah,quannianri,0.026425174881591518
13.5,zg,36604.70090149672,ah,quannianri,0.03343321528034569
14.5,zg,38555.859434881146,ah,quannianri,0.03521532254214982
15.5,zg,26439.792874260795,ah,quannianri,0.024149009973108863
16.5,zg,24081.57847866177,ah,quannianri,0.021995114773215325
17.5,zg,21935.12891007471,ah,quannianri,0.02003463678138335
18.5,zg,23442.131414806252,ah,quannianri,0.021411070352150476
19.5,zg,23371.352997323764,ah,quannianri,0.021346424281820275
20.5,zg,23901.446855744645,ah,quannianri,0.021830590021490334
21.5,zg,24778.65367466405,ah,quannianri,0.022631794339516068
22.5,zg,30944.177476610672,ah,quannianri,0.028263128007322336
23.5,zg,27600.374951271413,ah,quannianri,0.025209037496230085
0.5,zd,20841.836345548614,ah,quannianri,0.019036068707502227
1.5,zd,20970.78099437671,ah,quannianri,0.019153841400553845
2.5,zd,18715.849215438076,ah,quannianri,0.017094280258103268
3.5,zd,14310.537192507545,ah,quannianri,0.013070651007967548
4.5,zd,17174.033691473793,ah,quannianri,0.015686049919765244
5.5,zd,17153.01528706846,ah,quannianri,0.015666852581116754
6.5,zd,17412.034001386368,ah,quannianri,0.015903429529545658
7.5,zd,17637.78448287013,ah,quannianri,0.016109620654215652
8.5,zd,17522.01252115474,ah,quannianri,0.016003879347112105
9.5,zd,17756.601033314782,ah,quannianri,0.01621814276236165
10.5,zd,19043.86155653428,ah,quannianri,0.017393873123074097
11.5,zd,20694.68829244045,ah,quannianri,0.018901669780138013
12.5,zd,21357.37889592649,ah,quannianri,0.019506943886057698
13.5,zd,26815.622357842294,ah,quannianri,0.02449227703236156
14.5,zd,27314.614885701496,ah,quannianri,0.024948036106915795
15.5,zd,21047.595947246013,ah,quannianri,0.019224000991884475
16.5,zd,19517.141856959686,ah,quannianri,0.017826147715745942
17.5,zd,17870.48252628605,ah,quannianri,0.016322157393739226
18.5,zd,18621.121081096167,ah,quannianri,0.01700775950993267
19.5,zd,18437.253308296138,ah,quannianri,0.01683982231389647
20.5,zd,18152.75706136762,ah,quannianri,0.01657997524410051
21.5,zd,19370.00553048097,ah,quannianri,0.017691759498998594
22.5,zd,21203.391800552166,ah,quannianri,0.01936629846120096
23.5,zd,20165.28902039083,ah,quannianri,0.01841813844684498
0.5,zg,18330.657097759628,bj,quannianri,0.03037824691761113
1.5,zg,19303.941189903082,bj,quannianri,0.031991209525248934
2.5,zg,17399.962270624015,bj,quannianri,0.028835864824438673
3.5,zg,14349.73777551069,bj,quannianri,0.023780919310345604
4.5,zg,15169.824487403544,bj,quannianri,0.02513999751986477
5.5,zg,11889.771580302546,bj,quannianri,0.019704171810871467
6.5,zg,12418.393579966893,bj,quannianri,0.020580223855609543
7.5,zg,11708.944431908098,bj,quannianri,0.019404498333044782
8.5,zg,12205.415820039412,bj,quannianri,0.020227269188216445
