x,variable,value,p,d
0.5,zg,30581.529457216846,ah,quannianri
1.5,zg,30874.935473926133,ah,quannianri
2.5,zg,28074.04989097496,ah,quannianri
3.5,zg,22129.311863573166,ah,quannianri
4.5,zg,22378.88849878479,ah,quannianri
5.5,zg,21722.519995520644,ah,quannianri
6.5,zg,22407.722621999517,ah,quannianri
7.5,zg,22100.374795403503,ah,quannianri
8.5,zg,21850.187817982507,ah,quannianri
9.5,zg,21926.23967849322,ah,quannianri
10.5,zg,23366.856944973795,ah,quannianri
11.5,zg,27754.94420252951,ah,quannianri
12.5,zg,28931.87552257462,ah,quannianri
13.5,zg,36604.70090149672,ah,quannianri
14.5,zg,38555.859434881146,ah,quannianri
15.5,zg,26439.792874260795,ah,quannianri
16.5,zg,24081.57847866177,ah,quannianri
17.5,zg,21935.12891007471,ah,quannianri
18.5,zg,23442.131414806252,ah,quannianri
19.5,zg,23371.352997323764,ah,quannianri
20.5,zg,23901.446855744645,ah,quannianri
21.5,zg,24778.65367466405,ah,quannianri
22.5,zg,30944.177476610672,ah,quannianri
23.5,zg,27600.374951271413,ah,quannianri
0.5,zd,20841.836345548614,ah,quannianri
1.5,zd,20970.78099437671,ah,quannianri
2.5,zd,18715.849215438076,ah,quannianri
3.5,zd,14310.537192507545,ah,quannianri
4.5,zd,17174.033691473793,ah,quannianri
5.5,zd,17153.01528706846,ah,quannianri
6.5,zd,17412.034001386368,ah,quannianri
7.5,zd,17637.78448287013,ah,quannianri
8.5,zd,17522.01252115474,ah,quannianri
9.5,zd,17756.601033314782,ah,quannianri
10.5,zd,19043.86155653428,ah,quannianri
11.5,zd,20694.68829244045,ah,quannianri
12.5,zd,21357.37889592649,ah,quannianri
13.5,zd,26815.622357842294,ah,quannianri
14.5,zd,27314.614885701496,ah,quannianri
15.5,zd,21047.595947246013,ah,quannianri
16.5,zd,19517.141856959686,ah,quannianri
17.5,zd,17870.48252628605,ah,quannianri
18.5,zd,18621.121081096167,ah,quannianri
19.5,zd,18437.253308296138,ah,quannianri
20.5,zd,18152.75706136762,ah,quannianri
21.5,zd,19370.00553048097,ah,quannianri
22.5,zd,21203.391800552166,ah,quannianri
23.5,zd,20165.28902039083,ah,quannianri
0.5,zg,18330.657097759628,bj,quannianri
1.5,zg,19303.941189903082,bj,quannianri
2.5,zg,17399.962270624015,bj,quannianri
3.5,zg,14349.73777551069,bj,quannianri
4.5,zg,15169.824487403544,bj,quannianri
5.5,zg,11889.771580302546,bj,quannianri
6.5,zg,12418.393579966893,bj,quannianri
7.5,zg,11708.944431908098,bj,quannianri
8.5,zg,12205.415820039412,bj,quannianri
9.5,zg,13396.141359415455,bj,quannianri
10.5,zg,13356.766978706326,bj,quannianri
11.5,zg,18155.670810835265,bj,quannianri
12.5,zg,16284.817099450904,bj,quannianri
13.5,zg,18945.584500984667,bj,quannianri
14.5,zg,19119.969233536536,bj,quannianri
15.5,zg,16293.983860123019,bj,quannianri
16.5,zg,13155.934131012165,bj,quannianri
17.5,zg,11454.914697526914,bj,quannianri
18.5,zg,11967.221021080697,bj,quannianri
19.5,zg,12819.170491104307,bj,quannianri
20.5,zg,15100.237106472598,bj,quannianri
21.5,zg,16127.652675698224,bj,quannianri
22.5,zg,19796.078907796888,bj,quannianri
23.5,zg,19136.32178124882,bj,quannianri
0.5,zd,13021.594654751929,bj,quannianri
1.5,zd,14135.904601540467,bj,quannianri
2.5,zd,13623.786751546326,bj,quannianri
3.5,zd,10691.92497173978,bj,quannianri
4.5,zd,11131.009075950562,bj,quannianri
5.5,zd,7915.200757549643,bj,quannianri
6.5,zd,7763.553183303694,bj,quannianri
7.5,zd,7014.950720151536,bj,quannianri
8.5,zd,7209.184109802146,bj,quannianri
9.5,zd,7826.6110839972625,bj,quannianri
10.5,zd,8216.903281090552,bj,quannianri
11.5,zd,9892.78599159646,bj,quannianri
12.5,zd,9497.824435250288,bj,quannianri
