x,y
0.5,13931.104185870825
1.5,13075.207297884206
2.5,12435.90142367908
3.5,11895.0812940556
4.5,11532.283276947092
5.5,11273.66828669963
6.5,11275.795348728969
7.5,11591.472823705803
8.5,13172.040131351014
9.5,14556.085018607304
10.5,15366.506988888937
11.5,15601.467988913355
12.5,15148.085894989139
13.5,15569.351104631034
14.5,16011.138312440147
15.5,16159.634203383772
16.5,16256.798746500484
17.5,16052.57677364208
18.5,15036.195746842319
19.5,14604.444287189091
20.5,15398.440913286688
21.5,15500.86309780117
22.5,14597.681600503089
23.5,13796.961302633465
