x,variable,value
0.5,1,6446.7043434002435
1.5,1,6503.6679903498225
2.5,1,7039.6016747738195
3.5,1,7533.113579369244
4.5,1,7718.412599242545
5.5,1,7710.945958226243
6.5,1,7621.665001621056
7.5,1,7668.514087799284
8.5,1,7811.4365895862675
9.5,1,7948.248433819378
10.5,1,7973.8242821217755
11.5,1,7912.141270779745
12.5,1,7854.597574419897
13.5,1,7717.237805246029
14.5,1,7601.455096316319
15.5,1,7788.2655427166455
16.5,1,8033.311177206098
17.5,1,8089.499930106719
18.5,1,8026.807166007389
19.5,1,7936.770385103763
20.5,1,7728.15812461901
21.5,1,7603.2633086495325
22.5,1,7682.688796497208
23.5,1,7781.076823952453
24.5,1,7909.256871306876
25.5,1,8102.290160283192
26.5,1,8189.1058980794005
27.5,1,8144.30349440842
28.5,1,8101.2483665676
29.5,1,8220.65116140777
30.5,1,8217.862825077955
31.5,1,8130.48182528552
32.5,1,8006.9666026679815
33.5,1,7870.006376385563
34.5,1,7720.164335130235
35.5,1,7594.896551655921
36.5,1,7685.511580401901
37.5,1,7752.687018685915
38.5,1,7595.094347176477
39.5,1,7389.514510960752
40.5,1,7244.260612926554
41.5,1,7010.336503534872
42.5,1,6688.333102965153
43.5,1,6241.701620654672
44.5,1,5805.639744805161
45.5,1,5194.754803303018
46.5,1,4960.505732101534
47.5,1,4859.759928623812
48.5,1,4828.902926490432
49.5,1,4892.295285052874
50.5,1,5040.829418790899
51.5,1,5156.5510893306255
52.5,1,5412.774761208387
53.5,1,5761.506546774097
54.5,1,5958.540781988962
55.5,1,6035.567633644303
56.5,1,6054.177085074504
57.5,1,6149.543869703662
58.5,1,6237.25648973791
59.5,1,6203.12925034506
60.5,1,6172.966769339705
61.5,1,6178.177270602493
62.5,1,6090.924344285113
63.5,1,6165.210478121241
64.5,1,6351.856603249097
65.5,1,6528.190839930966
66.5,1,6531.200644983676
67.5,1,6474.494020300804
68.5,1,6446.197499038952
69.5,1,6326.102203876419
70.5,1,6318.783390368311
71.5,1,6469.638008363711
72.5,1,6567.279683791867
73.5,1,6602.459329535544
74.5,1,6576.431077488795
75.5,1,6501.579503402549
76.5,1,6364.979036469588
77.5,1,6328.64142673159
78.5,1,6510.525432240341
79.5,1,6599.766369258344
80.5,1,6657.036836905622
81.5,1,6661.366997957651
82.5,1,6645.7470934198755
83.5,1,6492.759496320692
84.5,1,6394.9810172189
85.5,1,6514.075041521077
86.5,1,6693.63415940583
87.5,1,6693.132086062366
88.5,1,6630.967980321039
89.5,1,6600.5910261149975
90.5,1,6488.522046863841
91.5,1,6467.229122751148
92.5,1,6527.599848767625
93.5,1,6430.935604351574
94.5,1,6058.819743165031
95.5,1,5657.147793066656
96.5,1,5770.736056998146
97.5,1,6217.104334831169
98.5,1,6477.861631365694
99.5,1,6717.479921801953
100.5,1,6784.491711438694
101.5,1,6759.907894410022
102.5,1,6650.459163886426
103.5,1,6474.548532286152
104.5,1,6256.213411257396
105.5,1,6171.994101251019
106.5,1,6279.286879555898
107.5,1,6451.066610354695
108.5,1,6568.023415183083
109.5,1,6682.269383641319
110.5,1,6694.104361574765
111.5,1,6572.987787438116
112.5,1,6502.226782700147
113.5,1,6662.212350040704
114.5,1,6680.632921311301
115.5,1,6664.097301124659
116.5,1,6601.122715345611
117.5,1,6566.947590319228
118.5,1,6391.73047832208
119.5,1,6155.8166382845575
120.5,1,6002.889779917056
121.5,1,5995.183310789088
122.5,1,6301.4232548454975
123.5,1,6659.180659681186
124.5,1,6741.129571651986
125.5,1,6545.332544663541
126.5,1,6389.415737876804
127.5,1,6540.565280718169
128.5,1,6662.594696929377
129.5,1,6548.05788103316
130.5,1,6494.114836905429
131.5,1,6455.092483903809
132.5,1,6491.559330754777
133.5,1,6648.9429546135425
134.5,1,7063.821105501806
135.5,1,7612.804933282074
136.5,1,7727.066351678586
137.5,1,7486.584334374886
138.5,1,7297.217122782936
139.5,1,7353.62913381011
140.5,1,7404.615334145655
141.5,1,7161.388460482574
142.5,1,6800.115492241194
143.5,1,6620.062093611546
144.5,1,6563.374554610588
145.5,1,6531.46861111362
146.5,1,6380.927484531043
147.5,1,6264.83605985371
148.5,1,6407.605220282661
149.5,1,6574.82452638992
150.5,1,6517.269268309255
151.5,1,6435.23625895658
152.5,1,6501.044965683491
153.5,1,6578.318855951913
154.5,1,6675.8641897460275
155.5,1,6916.707258055636
156.5,1,7212.5357623119025
157.5,1,7447.143192607748
158.5,1,7551.24807166587
159.5,1,7311.259831645684
160.5,1,7044.454471345659
161.5,1,7027.790451881743
162.5,1,6992.034251687395
163.5,1,7071.824592961293
164.5,1,7181.906998529738
165.5,1,7146.731546030373
166.5,1,6935.214776324298
167.5,1,6553.2797127270105
168.5,1,6132.368928170898
169.5,1,6197.194377101678
170.5,1,6589.826209546914
171.5,1,6962.808017911203
172.5,1,6976.304250813919
173.5,1,7093.939651011245
174.5,1,7460.00154133107
175.5,1,8207.160176090005
176.5,1,8852.226455085782
177.5,1,9894.789269487872
178.5,1,10487.67753162049
179.5,1,10696.230988406613
180.5,1,10353.381531868543
181.5,1,9964.988485968832
182.5,1,9660.146822750246
183.5,1,9103.702526944046
184.5,1,8699.005828413478
185.5,1,8181.338014443946
186.5,1,8095.057817186705
187.5,1,8095.251573796214
188.5,1,8115.134005265984
189.5,1,8349.798044772491
190.5,1,9135.006016282972
191.5,1,9730.378038633298
192.5,1,9889.982267966174
193.5,1,9872.9188632375
194.5,1,10093.354201876817
195.5,1,10357.308701328062
196.5,1,10821.031281389443
197.5,1,11268.786165097079
198.5,1,11727.552080444933
199.5,1,12038.136277424757
200.5,1,12325.305698473474
201.5,1,12312.284675710553
202.5,1,12198.991900073694
203.5,1,12160.55347802812
204.5,1,12310.127843370134
205.5,1,12367.940183465535
206.5,1,12194.702918795303
207.5,1,11930.63632543701
208.5,1,11723.543767847084
209.5,1,11637.392032020134
210.5,1,10863.32342470698
211.5,1,10196.4113773757
212.5,1,9079.82585370748
213.5,1,8975.271667691446
214.5,1,8988.529448118283
215.5,1,9223.65752967803
216.5,1,9403.45789618328
217.5,1,9388.159335641441
