x,y
0.5,29057.01339668835
1.5,28627.868579815233
2.5,27607.173716687867
3.5,26857.980917605397
4.5,26150.32314238112
5.5,26156.658929299476
6.5,26538.61279313827
7.5,26949.033424320947
8.5,29572.70894188951
9.5,31965.809701861283
10.5,33907.07583357094
11.5,34470.30582547412
12.5,32663.870901329123
13.5,33295.31141565657
14.5,33674.60424671228
15.5,33674.87676448119
16.5,33741.37702061553
17.5,33489.64470034095
18.5,32477.192126868787
19.5,32537.53678113679
20.5,32790.168705327815
21.5,33106.030346809195
22.5,32860.21034728784
23.5,31546.144822110407
