x,y
0.5,20947.253139349665
1.5,20276.13756877443
2.5,19818.333639022818
3.5,19294.624593684443
4.5,19286.050540271877
5.5,19662.600849642535
6.5,21020.7329153963
7.5,21474.329993262043
8.5,22593.889155427772
9.5,23916.903371274588
10.5,25516.345248803977
11.5,25708.973435730542
12.5,23630.959683988243
13.5,23626.41728794377
14.5,24079.88738069304
15.5,24494.918881662863
16.5,25076.253714606482
17.5,25976.876983819122
18.5,26247.169053512873
19.5,25821.340372401464
20.5,25509.211296423367
21.5,25389.328211812903
22.5,24253.660609997423
23.5,22853.51869670748
