x,y
0.5,56264.23478770415
1.5,53243.527699527425
2.5,50819.98728554751
3.5,48791.85053292379
4.5,47257.128972555634
5.5,46222.22490357945
6.5,46048.19343460856
7.5,45455.64715234627
8.5,45198.25292250757
9.5,47659.93840894985
10.5,49918.57317016063
11.5,51886.08779064554
12.5,49743.88783085332
13.5,49570.03153738268
14.5,49827.52035675141
15.5,50048.518158769504
16.5,51295.27790216123
17.5,53947.961576651265
18.5,56321.77885965495
19.5,55382.92940269506
20.5,54633.84996034978
21.5,53951.72541257825
22.5,52272.52453443643
23.5,49205.97197681595
