x,y
0.5,11115.104972619552
1.5,11070.195947964192
2.5,10923.809220354558
3.5,10947.812656744249
4.5,10757.929016237746
5.5,10853.420955691588
6.5,11508.651752298318
7.5,12014.560377411704
8.5,11384.39130512491
9.5,11976.71713374889
10.5,12133.28597342228
11.5,12505.431691580001
12.5,12482.210649195998
13.5,12001.93108889404
14.5,12215.21139104933
15.5,12054.403567038858
16.5,12508.787030348398
17.5,12839.515278710282
18.5,12928.023926008915
19.5,12510.635692387754
20.5,12622.824127413574
21.5,12222.52860294739
22.5,12114.465260478188
23.5,11749.182183876985
