x,variable,value
0.5,1,10821.222594576917
1.5,1,10852.742021281323
2.5,1,10970.287473154684
3.5,1,11084.521772029217
4.5,1,11270.013151007799
5.5,1,11411.413316603806
6.5,1,11437.035179538989
7.5,1,11357.710958837468
8.5,1,11361.315937711399
9.5,1,11408.49939965301
10.5,1,11361.202260023005
11.5,1,11385.667397648811
12.5,1,11439.193564978163
13.5,1,11392.317245523287
14.5,1,11326.245559666477
15.5,1,11167.104938932123
16.5,1,11025.14844853559
17.5,1,11007.926855298161
18.5,1,11069.005847380544
19.5,1,11019.534989305977
20.5,1,10925.08701497258
21.5,1,10828.72418146921
22.5,1,10870.035923920987
23.5,1,11003.038146308618
24.5,1,11158.138206277727
25.5,1,11142.959778618879
26.5,1,11151.720982143901
27.5,1,11216.887899115443
28.5,1,11296.139549034877
29.5,1,11458.687312262902
30.5,1,11512.863836350114
31.5,1,11441.18013823486
32.5,1,11401.642329856446
33.5,1,11387.299347542443
34.5,1,11301.435242564015
35.5,1,11290.343407048042
36.5,1,11232.717379786993
37.5,1,11089.748348791736
38.5,1,10997.357465565105
39.5,1,10949.2049273879
40.5,1,10903.706157676928
41.5,1,10832.748320282642
42.5,1,10740.451305061162
43.5,1,10585.97280585983
44.5,1,10452.017620261626
45.5,1,10162.122593011825
46.5,1,9916.874078318946
47.5,1,9850.70462857409
48.5,1,9943.182218547085
49.5,1,9948.86956822415
50.5,1,9946.602560486537
51.5,1,10008.392636243429
52.5,1,10128.230936109028
53.5,1,10300.51418613904
54.5,1,10304.417768766536
55.5,1,10216.953777555635
56.5,1,10288.853054851044
57.5,1,10434.48302858129
58.5,1,10317.864803215143
59.5,1,10171.847482246978
60.5,1,10153.582514162545
61.5,1,10141.572951142842
62.5,1,10181.42307179275
63.5,1,10333.095866783739
64.5,1,10488.309348730072
65.5,1,10533.518331305746
66.5,1,10582.551548918476
67.5,1,10537.214991809435
68.5,1,10549.792535754015
69.5,1,10560.795102360835
70.5,1,10526.69444696844
71.5,1,10478.357724199339
72.5,1,10464.47926300352
73.5,1,10483.618228846108
74.5,1,10412.002040430823
75.5,1,10412.097346221613
76.5,1,10434.73852634104
77.5,1,10490.457599584963
78.5,1,10584.719057497303
79.5,1,10651.205772888628
80.5,1,10514.807131216176
81.5,1,10303.096525856063
82.5,1,10341.32639988405
83.5,1,10435.955725791018
84.5,1,10433.30231006075
85.5,1,10530.943395021231
86.5,1,10468.997839550317
87.5,1,10419.15995729757
88.5,1,10553.325489973811
89.5,1,10632.644965847634
90.5,1,10520.463633603626
91.5,1,10310.072000263863
92.5,1,10241.143050489312
93.5,1,10241.695063543522
94.5,1,10152.664589181912
95.5,1,10153.019822122002
96.5,1,10319.056700384042
97.5,1,10295.651757748812
98.5,1,10184.157216060108
99.5,1,10198.536750248
100.5,1,10217.319681330515
101.5,1,10192.323620121348
102.5,1,10190.54312337776
103.5,1,10235.574161635535
104.5,1,10318.09599247691
105.5,1,10526.13394317403
106.5,1,10621.580008601699
107.5,1,10542.275956419759
108.5,1,10353.616661651622
109.5,1,10342.322600284719
110.5,1,10435.30502494312
111.5,1,10487.837359521518
112.5,1,10425.233163181085
113.5,1,10296.039083968943
114.5,1,10352.683589897259
115.5,1,10329.14039696262
116.5,1,10243.934870270854
117.5,1,10297.390467181835
118.5,1,10336.28399977688
119.5,1,10266.007650588755
120.5,1,10239.29049498553
121.5,1,10305.074505942617
122.5,1,10488.323271998937
123.5,1,10676.748590927002
124.5,1,10613.837096195079
125.5,1,10527.604123180947
126.5,1,10458.219120953341
127.5,1,10412.100002690137
128.5,1,10436.01615421617
129.5,1,10482.951819417061
130.5,1,10505.954738879156
131.5,1,10473.208772981387
132.5,1,10514.795124987033
133.5,1,10509.614336187036
134.5,1,10485.358533448356
135.5,1,10401.89096252814
136.5,1,10366.056728099113
137.5,1,10533.103062311191
138.5,1,10557.94273187247
139.5,1,10555.889998829562
140.5,1,10565.149579574123
141.5,1,10556.673318045092
142.5,1,10633.278434220481
143.5,1,10655.705241072981
144.5,1,10476.55436491552
145.5,1,10408.328325743498
146.5,1,10387.365868703151
147.5,1,10387.150758252794
148.5,1,10425.52410626428
149.5,1,10525.977526457666
150.5,1,10681.054833988092
151.5,1,10821.047036340271
152.5,1,10875.203079340468
153.5,1,10800.224983404916
154.5,1,10780.911173198474
155.5,1,10850.344380893564
156.5,1,10942.271893379024
157.5,1,11106.04612443386
158.5,1,11215.061210129883
159.5,1,11167.943950565383
160.5,1,11115.52325002897
161.5,1,11166.244855810637
162.5,1,11197.507082059703
163.5,1,11267.067822230556
164.5,1,11386.427382464832
165.5,1,11366.434935292038
166.5,1,11268.282798846312
167.5,1,11240.2902616725
168.5,1,11279.192395310998
169.5,1,11201.63384214892
170.5,1,11086.828224299144
171.5,1,11098.26454181525
172.5,1,11195.125565998937
173.5,1,11264.819346537864
174.5,1,11244.610902020768
175.5,1,11105.444974956084
176.5,1,11018.602314016298
177.5,1,11118.260485233743
178.5,1,11262.305178164162
179.5,1,11289.492573982372
180.5,1,11290.083057835896
181.5,1,11237.339500199578
182.5,1,11069.78054715646
183.5,1,11066.938020055737
184.5,1,11103.477580037772
185.5,1,10927.414418509394
186.5,1,10803.780403876384
187.5,1,10645.128017350018
188.5,1,10668.724442665065
189.5,1,10866.82414956979
190.5,1,11076.303724908606
191.5,1,11191.66931481706
192.5,1,11170.432161564146
193.5,1,11080.789100215878
194.5,1,10913.537216070177
195.5,1,10554.298474090965
196.5,1,10330.409448583558
197.5,1,10414.863154416258
198.5,1,10763.265004145158
199.5,1,10923.66439067793
200.5,1,10777.028472861097
201.5,1,10585.014413489656
202.5,1,10578.119511904917
203.5,1,10687.664665622797
204.5,1,10733.878220232678
205.5,1,10659.093534784735
206.5,1,10604.082086675915
207.5,1,10637.13359517444
208.5,1,10708.390202680288
209.5,1,10899.185023313505
210.5,1,10972.153163528092
211.5,1,10958.43228570162
212.5,1,10690.97938874327
213.5,1,10476.75086987802
214.5,1,10423.34917627138
215.5,1,10510.48598642862
216.5,1,10663.969910376163
217.5,1,10678.7333263579
218.5,1,10582.09804291012
219.5,1,10488.27236093066
220.5,1,10503.611829258341
221.5,1,10600.686438408191
222.5,1,10655.916624178171
223.5,1,10592.97955206411
