x,y
0.5,15822.083588054114
1.5,14949.660873676341
2.5,14333.92715455175
3.5,13896.161949040265
4.5,13496.715731942128
5.5,13593.859867060331
6.5,14435.559011082167
7.5,14855.824418718696
8.5,16671.412022915156
9.5,18078.036138467654
10.5,19047.589884338955
11.5,19391.037699028948
12.5,18301.092459135343
13.5,18835.227405917507
14.5,19512.863197508344
15.5,19785.453339065214
16.5,19859.920760604018
17.5,19815.325252278693
18.5,18725.883034579576
19.5,18887.39554899667
20.5,19790.167904231206
21.5,19784.741687618112
22.5,19118.972290289556
23.5,17812.81813363156
