x,y
0.5,10035.820109546776
1.5,9602.123303260214
2.5,9234.00802064287
3.5,9051.461503718867
4.5,8963.892945939311
5.5,9054.076490398154
6.5,9616.315956450277
7.5,11289.782523185728
8.5,12576.417297484624
9.5,13393.143914547929
10.5,13744.890790776732
11.5,13551.399346875802
12.5,12542.67527202582
13.5,12338.843533860982
14.5,12294.703429899751
15.5,12418.290114889713
16.5,12849.181589254948
17.5,13669.713291604194
18.5,14123.022167080617
19.5,14478.9186178046
20.5,13609.331904620165
21.5,13143.894298363748
22.5,12130.785127730189
23.5,11058.14555810648
