x,variable,value
0.5,zd,12137.155297532663
0.5,zg,22260.522496371563
1.5,zd,12142.89140875453
1.5,zg,22634.412655106156
2.5,zd,12073.88425253992
2.5,zg,22755.21863386977
3.5,zd,12073.88425253992
3.5,zg,22829.96190130625
4.5,zd,12073.88425253992
4.5,zg,22559.495566117494
5.5,zd,12073.88425253992
5.5,zg,22162.660962495425
6.5,zd,11947.342162554432
6.5,zg,22041.85498373181
7.5,zd,11947.342162554432
7.5,zg,22220.369717818478
8.5,zd,11866.688962343906
8.5,zg,22404.44674157484
9.5,zd,11757.529027576204
9.5,zg,22375.41854236113
10.5,zd,11625.07700481667
10.5,zg,22110.340675289888
11.5,zd,11504.271026053051
11.5,zg,21627.638224891954
12.5,zd,11441.173802612488
12.5,zg,21501.269956458644
13.5,zd,11441.173802612488
13.5,zg,21541.944199668265
14.5,zd,11441.173802612488
14.5,zg,21944.16727140785
15.5,zd,11648.716735912862
15.5,zg,22463.024604658774
16.5,zd,11757.529027576204
16.5,zg,22605.38445589245
17.5,zd,11728.500828362505
17.5,zg,22270.95178950224
18.5,zd,11567.715892597977
18.5,zg,21857.604138423278
19.5,zd,11423.617825842524
19.5,zg,21592.700092904204
20.5,zd,11516.264713153329
20.5,zg,21691.08309143688
21.5,zd,11573.799646924204
21.5,zg,21817.62518142236
22.5,zd,11567.715892597977
22.5,zg,21564.54100145139
23.5,zd,11325.40864886203
23.5,zg,21380.116334590675
24.5,zd,11135.943156988156
24.5,zg,20901.933244549364
25.5,zd,10905.455778800304
25.5,zg,20269.57043772629
26.5,zd,10767.789109475438
26.5,zg,20027.958480199057
27.5,zd,10646.983130711822
27.5,zg,19596.533387693595
28.5,zd,10399.63506196272
28.5,zg,19257.581360946755
29.5,zd,10255.363173655089
29.5,zg,18923.496337660898
30.5,zd,9985.939767779397
30.5,zg,18674.23623183784
31.5,zd,9847.40399069364
31.5,zg,17554.47779270803
32.5,zd,9726.598011930022
32.5,zg,16749.68400612451
33.5,zd,9605.792033166406
33.5,zg,16438.021963069594
34.5,zd,9300.387565989897
34.5,zg,15695.977756822287
35.5,zd,9233.108968544162
35.5,zg,14796.972688958367
36.5,zd,9243.33546986396
36.5,zg,14385.015610296825
37.5,zd,9253.561971183755
37.5,zg,13545.109870173375
38.5,zd,9263.788472503556
38.5,zg,13697.72519298554
39.5,zd,9274.014973823352
39.5,zg,14304.18858853411
40.5,zd,9284.24147514315
40.5,zg,15585.079606532803
41.5,zd,9371.132937726285
41.5,zg,16321.387701558244
42.5,zd,9416.500362844708
42.5,zg,17172.070377916723
43.5,zd,9416.500362844708
43.5,zg,17698.575859463475
44.5,zd,9418.58622147084
44.5,zg,17832.939919296965
45.5,zd,9664.543717802524
45.5,zg,18332.67688180833
46.5,zd,9785.34969656614
46.5,zg,18621.742123080123
47.5,zd,9859.39767779391
47.5,zg,19284.002236877783
48.5,zd,10049.21081277214
48.5,zg,19874.99551428253
49.5,zd,10246.324452941835
49.5,zg,20207.863786703147
50.5,zd,10395.115701606092
50.5,zg,20206.29939273355
51.5,zd,10555.379172714083
51.5,zg,20259.662609252147
52.5,zd,10555.379172714083
52.5,zg,20380.468588015767
53.5,zd,10580.061833123342
53.5,zg,20678.746371552985
54.5,zd,10808.463352685056
54.5,zg,20742.01741654573
55.5,zd,10808.463352685056
55.5,zg,20678.746371552985
56.5,zd,10808.463352685056
56.5,zg,20493.800240035736
57.5,zd,10808.463352685056
57.5,zg,20362.39114658927
58.5,zd,10808.463352685056
58.5,zg,20252.188282508505
59.5,zd,10767.267644818903
59.5,zg,20026.91555088599
60.5,zd,10681.921262699572
60.5,zg,19785.30359335876
61.5,zd,10618.650217706829
61.5,zg,19480.42059083878
62.5,zd,10428.837082728598
62.5,zg,19199.524962519343
63.5,zd,10347.314774757178
63.5,zg,19160.24129172715
64.5,zd,10302.294992743113
64.5,zg,19501.62682020448
65.5,zd,10372.345078270797
65.5,zg,19813.288863259397
66.5,zd,10558.507960653284
66.5,zg,20172.57801161104
67.5,zd,10808.463352685056
67.5,zg,20235.849056603784
68.5,zd,10861.30510454713
68.5,zg,19961.21100416276
69.5,zd,10935.005442670545
69.5,zg,19919.493831640066
70.5,zd,10935.005442670545
70.5,zg,19605.572108406846
71.5,zd,10935.005442670545
71.5,zg,19603.13860667635
72.5,zd,10935.005442670545
72.5,zg,19696.30695864369
73.5,zd,11022.43768341601
73.5,zg,19841.274133160023
74.5,zd,11143.243662179626
74.5,zg,20064.46100615641
75.5,zd,11314.631712627004
75.5,zg,20020.65797500759
76.5,zd,11251.36066763426
76.5,zg,19265.92479545129
77.5,zd,11061.54753265603
77.5,zg,18841.452565032945
78.5,zd,10939.524803027169
78.5,zg,18346.75642753474
79.5,zd,10396.332452471335
79.5,zg,17735.77367162954
80.5,zd,10396.853917127868
80.5,zg,18131.912989042896
81.5,zd,10492.108127721342
81.5,zg,18673.888588733484
82.5,zd,10797.686416450022
82.5,zg,19259.31957646853
83.5,zd,11061.54753265603
83.5,zg,19512.92522109604
84.5,zd,11100.483560343871
84.5,zg,19135.906274422246
85.5,zd,10853.13549159477
85.5,zg,18497.807356377307
86.5,zd,10795.600557823896
86.5,zg,17945.22864200387
87.5,zd,10492.108127721342
87.5,zg,17500.940754637246
88.5,zd,10428.837082728598
88.5,zg,17200.229469369537
89.5,zd,10365.566037735854
89.5,zg,17515.19412191583
90.5,zd,10302.294992743113
90.5,zg,17631.654561875
91.5,zd,10413.019321480411
91.5,zg,18116.26904934689
92.5,zd,10723.63843522226
92.5,zg,18211.175616836
93.5,zd,10935.005442670545
93.5,zg,18147.90457184326
