x,variable,value
0.5,1,11276.495936495083
1.5,1,11460.538944678789
2.5,1,11593.703861041795
3.5,1,11703.41643371856
4.5,1,11724.482464642708
5.5,1,11690.0207833223
6.5,1,11764.428089631396
7.5,1,11941.86592796712
8.5,1,12049.606223230621
9.5,1,12052.675944830698
10.5,1,11982.985043393435
11.5,1,11833.18458806812
12.5,1,11693.14863174969
13.5,1,11554.521713768238
14.5,1,11420.589110990873
15.5,1,11318.982566443818
16.5,1,11210.680827490998
17.5,1,10993.921054828374
18.5,1,10947.609305697993
19.5,1,11055.338521419208
20.5,1,11074.779680379805
21.5,1,10931.25626314063
22.5,1,10750.978269549607
23.5,1,10693.375537401618
24.5,1,10777.151551517572
25.5,1,10961.193459385588
26.5,1,11065.633251405734
27.5,1,11138.423045697044
28.5,1,11278.626440734917
29.5,1,11284.727249194111
30.5,1,11143.206158870475
31.5,1,11170.24196685813
32.5,1,11140.407603874457
33.5,1,11002.094907921131
34.5,1,10882.663475458121
35.5,1,10772.353977410981
36.5,1,10699.21259627887
37.5,1,10595.736976638917
38.5,1,10312.198424300985
39.5,1,10023.644953710445
40.5,1,9816.286238040033
41.5,1,9506.8583536675
42.5,1,9262.136505134786
43.5,1,8900.112908525824
44.5,1,8592.70411318487
45.5,1,8122.225688473662
46.5,1,7879.9446847592035
47.5,1,7556.909749988558
48.5,1,7401.55808465958
49.5,1,7555.074460445274
50.5,1,7810.6148923583005
51.5,1,8015.751572750528
52.5,1,8281.76736437812
53.5,1,8520.838287044982
54.5,1,8537.230723095789
55.5,1,8500.068023214917
56.5,1,8464.934009176015
57.5,1,8570.446549491553
58.5,1,8655.86292512398
59.5,1,8510.427197870022
60.5,1,8461.60107302325
61.5,1,8465.005055839967
62.5,1,8475.514801551873
63.5,1,8657.31891823769
64.5,1,8963.358437368119
65.5,1,9389.270568512984
66.5,1,9525.989715431546
67.5,1,9602.143703905525
68.5,1,9631.904469993373
69.5,1,9730.111699303714
70.5,1,9783.6830799924
71.5,1,9748.91623837992
72.5,1,9632.202336806511
73.5,1,9642.528197603857
74.5,1,9676.25229305942
75.5,1,9675.381674384256
76.5,1,9745.979263794143
77.5,1,9785.668452868573
78.5,1,9819.243273158183
79.5,1,9942.25598349961
80.5,1,10124.900976837904
81.5,1,10177.820552951907
82.5,1,10062.718043439281
83.5,1,10080.05998921796
84.5,1,10075.81278636985
85.5,1,10151.531055858284
86.5,1,10190.327089691387
87.5,1,9946.455438729638
88.5,1,9765.852474146894
89.5,1,9558.450461381892
90.5,1,9304.139471307179
91.5,1,9235.539252213437
92.5,1,9286.047607109882
93.5,1,9296.368359244821
94.5,1,9081.787631705361
95.5,1,9052.223822508886
96.5,1,9191.123915007192
97.5,1,9339.649273863226
98.5,1,9342.244082983547
99.5,1,9264.662907715532
100.5,1,9290.316799724918
101.5,1,9292.38800353945
102.5,1,9230.944673818682
103.5,1,9270.723409139999
104.5,1,9349.36592174505
105.5,1,9490.503956536115
106.5,1,9599.035903067661
107.5,1,9568.184472726749
108.5,1,9429.657004287708
109.5,1,9401.03146947928
110.5,1,9511.125101792426
111.5,1,9479.497545208005
112.5,1,9370.907503259314
113.5,1,9426.202263783509
114.5,1,9530.303758941576
115.5,1,9564.10421552842
116.5,1,9562.43459037309
117.5,1,9638.606622024885
118.5,1,9610.045235714906
119.5,1,9315.751275450246
120.5,1,8952.102144808596
121.5,1,8641.998758373657
122.5,1,8692.513689148926
123.5,1,8681.571297189967
124.5,1,8424.711627628034
125.5,1,8427.642183834021
126.5,1,8598.111026665036
127.5,1,8781.465123428103
128.5,1,8732.088246690508
129.5,1,8589.233351940247
130.5,1,8580.168433923092
131.5,1,8549.611870472607
132.5,1,8491.851871920524
133.5,1,8431.169888843584
134.5,1,8543.547713801012
135.5,1,8828.394222586745
136.5,1,9009.209113774648
137.5,1,9041.522552616423
138.5,1,9047.398396267427
139.5,1,9088.709254009922
140.5,1,9185.854429776076
141.5,1,9169.320467781243
142.5,1,8925.382336268049
143.5,1,8835.580084978685
144.5,1,8982.426268653266
145.5,1,9124.088617325397
146.5,1,9019.856349730444
147.5,1,8965.957699413662
148.5,1,9048.562907959258
149.5,1,9029.278527586755
150.5,1,8931.9783575011
151.5,1,8739.036459103121
152.5,1,8557.080454186835
153.5,1,8462.130656799445
154.5,1,8425.845214536545
155.5,1,8283.52695656845
156.5,1,8276.799771157195
157.5,1,8444.044286584307
158.5,1,8609.052488596952
159.5,1,8744.891964476188
160.5,1,8836.130171199384
161.5,1,8869.556764709634
162.5,1,8828.214295414065
163.5,1,8634.66696186398
164.5,1,8465.700440060707
165.5,1,8567.986698431889
166.5,1,8745.196688073222
167.5,1,8849.78660088886
168.5,1,8867.430238711582
169.5,1,8826.463455396457
170.5,1,8805.738004600373
171.5,1,8829.277241397394
172.5,1,8866.970841598939
173.5,1,8821.1766766156
174.5,1,8573.721383146163
175.5,1,8360.123883204693
176.5,1,8342.669976072957
177.5,1,8522.456174699326
178.5,1,8728.719294767014
179.5,1,9009.488752006757
180.5,1,9261.354870409503
181.5,1,9338.00519744572
182.5,1,9191.052291770222
183.5,1,9086.319307614405
184.5,1,9087.792682146674
185.5,1,9126.124092390472
186.5,1,8937.623643757643
187.5,1,8707.357846866029
188.5,1,8562.173934923394
189.5,1,8446.38013661956
190.5,1,8368.849451182165
191.5,1,8532.21286568767
192.5,1,8739.269860094064
193.5,1,8907.506404308928
194.5,1,9086.641840584138
195.5,1,9268.049889462429
196.5,1,9375.944546260265
197.5,1,9678.13549103104
198.5,1,9876.99225091877
199.5,1,10017.919736195523
200.5,1,10257.660257951628
201.5,1,10419.84198109683
202.5,1,10476.266946472393
203.5,1,10553.605208337414
204.5,1,10662.573205509501
205.5,1,10597.714902569802
206.5,1,10453.665096765792
207.5,1,10446.991896004409
208.5,1,10500.84277169243
209.5,1,10610.006661702171
210.5,1,10672.966436352039
211.5,1,10578.499883229571
212.5,1,10397.681864048347
213.5,1,10220.9887458958
214.5,1,10186.575125959807
215.5,1,10118.279733136313
216.5,1,10040.492243829634
217.5,1,9901.987332064069
218.5,1,9699.454325739203
219.5,1,9593.734482464464
220.5,1,9646.076961086084
221.5,1,9747.085248581925
222.5,1,9900.742829355306
223.5,1,10002.30674732032
224.5,1,10000.818567160486
225.5,1,10212.477821736597
226.5,1,10268.204187503528
227.5,1,10164.31517935104
228.5,1,10079.445021118061
229.5,1,10125.639493779678
230.5,1,10238.776632300347
231.5,1,10421.516173608657
232.5,1,10554.480972134887
233.5,1,10476.553996593995
234.5,1,10264.732184296043
235.5,1,10074.650315557255
236.5,1,10133.230758656948
237.5,1,10189.958463052384
238.5,1,10187.683942440128
239.5,1,10221.395433616786
240.5,1,10343.092106385677
241.5,1,10398.619832201264
242.5,1,10328.324793744536
243.5,1,10222.598628557009
244.5,1,10186.720112695435
245.5,1,10188.19023375164
246.5,1,10260.528361677669
247.5,1,10298.212213556362
248.5,1,10126.805867095894
249.5,1,9918.152653707095
250.5,1,9730.175136003336
251.5,1,9754.940634176639
252.5,1,9864.246450113664
253.5,1,9966.879733298416
254.5,1,9861.089903453578
255.5,1,9678.34843233171
256.5,1,9731.27613124082
257.5,1,9845.79652821478
258.5,1,9781.094317119616
259.5,1,9438.414644813942
260.5,1,9106.674388640018
261.5,1,8974.279505498678
262.5,1,8981.553914323
263.5,1,9160.181365811193
264.5,1,9235.62935395622
265.5,1,9108.842981874039
266.5,1,8803.591102277704
267.5,1,8647.973925153925
268.5,1,8731.204411507084
269.5,1,8584.484632155549
270.5,1,8463.133624371998
271.5,1,8628.989517644291
272.5,1,8834.429595817652
273.5,1,8868.041960700073
274.5,1,8902.913035756521
275.5,1,8996.060718556388
276.5,1,9311.2375818194
277.5,1,9610.947937428884
278.5,1,9741.241657220526
279.5,1,9894.349176758567
280.5,1,9814.819660877602
281.5,1,9787.306209832299
282.5,1,9971.795051028967
283.5,1,10148.000946969829
284.5,1,10152.465392991504
285.5,1,10143.683442161104
286.5,1,10190.132405431428
287.5,1,10142.981171255647
288.5,1,10035.165535823322
289.5,1,10011.53808010622
290.5,1,10164.184144124305
291.5,1,10334.077358007218
292.5,1,10257.328768650252
293.5,1,10078.82780333565
294.5,1,10075.018806942295
295.5,1,10243.658586571139
296.5,1,10270.56371671878
297.5,1,10217.854165774326
298.5,1,10334.895888946181
299.5,1,10494.743835670906
300.5,1,10588.456240415051
301.5,1,10661.503968566976
302.5,1,10662.976896393338
303.5,1,10625.66126332047
304.5,1,10597.562932582467
305.5,1,10526.414357714673
306.5,1,10552.34084759077
307.5,1,10648.838775555712
308.5,1,10718.192908369016
309.5,1,10754.386513473328
310.5,1,11012.747414009971
311.5,1,11057.847719340383
312.5,1,10843.854560711417
313.5,1,10667.079981103368
314.5,1,10703.045418658941
315.5,1,10766.35453054413
316.5,1,10832.902127625233
317.5,1,10913.992597891713
318.5,1,11018.940876334596
319.5,1,11070.144076637795
320.5,1,10902.870282932163
321.5,1,10774.041707403472
322.5,1,10845.633314857518
323.5,1,10914.283302491895
324.5,1,11150.723432962985
325.5,1,11395.612825224604
326.5,1,11509.851809979802
327.5,1,11356.971455851035
328.5,1,11324.109448797264
329.5,1,11359.977637122718
330.5,1,11401.241395530944
331.5,1,11356.265858309891
332.5,1,11212.337786765062
333.5,1,11179.04170583786
334.5,1,11109.551914451878
335.5,1,11004.489632953093
336.5,1,10975.923707447431
337.5,1,11155.87778038457
338.5,1,11400.972607793417
339.5,1,11675.17982603091
340.5,1,12004.437630720338
341.5,1,12205.94790047409
342.5,1,12346.699400252564
343.5,1,12453.394177739312
344.5,1,12623.684062650145
345.5,1,12777.672059282288
346.5,1,12787.334933801763
347.5,1,12787.05283031371
348.5,1,12790.313194691138
349.5,1,12738.444309483635
350.5,1,12553.972430175529
351.5,1,12230.338541476662
352.5,1,12017.764651130923
353.5,1,12084.351598451925
354.5,1,12153.098745818594
355.5,1,12200.061693636715
356.5,1,12120.244339811836
357.5,1,12149.228803258266
358.5,1,12256.60671652544
359.5,1,12393.805944604472
360.5,1,12655.896604118525
361.5,1,13010.309408674977
362.5,1,13009.316773328575
363.5,1,12623.136854524022
364.5,1,12390.159378456156
0.5,2,19876.475766921503
1.5,2,20117.50396132148
2.5,2,20220.348537013237
3.5,2,20154.099858578225
4.5,2,20040.3620844435
5.5,2,20160.65723439959
6.5,2,20627.406367559302
7.5,2,20844.683489070987
8.5,2,20787.865992709332
9.5,2,20529.01688195605
10.5,2,20140.21815576081
11.5,2,19932.797561093284
12.5,2,19689.738617952073
13.5,2,19630.76897674402
14.5,2,19711.679890780102
15.5,2,19670.121342045077
16.5,2,19526.946417208514
17.5,2,19452.551763008934
18.5,2,19455.19740770247
19.5,2,19298.232348201
20.5,2,19017.1359747518
21.5,2,18887.325167319486
22.5,2,18683.10276346
23.5,2,18954.41788901653
24.5,2,19417.633718843503
25.5,2,20159.198211330342
26.5,2,20291.907582202777
27.5,2,20465.52424860231
28.5,2,20702.152304926138
29.5,2,20822.828195889746
30.5,2,20697.63776610937
31.5,2,20613.49414281286
32.5,2,20507.080513398123
33.5,2,20333.199478719762
34.5,2,19999.83888559399
35.5,2,19856.09688689651
36.5,2,19692.76576816204
37.5,2,18899.53060410744
38.5,2,18446.510581908875
39.5,2,17709.682453447804
40.5,2,17255.65957821775
41.5,2,16992.034805343494
42.5,2,16488.70391065221
43.5,2,15990.250988411497
44.5,2,15160.46137722019
45.5,2,13707.427131390745
46.5,2,13214.51551687835
47.5,2,12314.136418533166
48.5,2,12683.146120484496
49.5,2,13218.272326660242
50.5,2,14284.937675341494
51.5,2,15044.645139948556
52.5,2,15713.300130465987
53.5,2,15790.81290610588
54.5,2,15716.738027412448
55.5,2,15754.929805175832
56.5,2,15765.951089164539
57.5,2,15480.567217921529
58.5,2,14959.96923165668
59.5,2,14433.232443786937
60.5,2,14251.22556753313
61.5,2,14325.12782129599
62.5,2,14964.801369540952
63.5,2,15920.903866117755
64.5,2,16446.452589518605
65.5,2,16632.833705769506
66.5,2,16609.770963139803
67.5,2,16476.799582588672
68.5,2,16585.03103467676
69.5,2,16672.485512749186
70.5,2,16671.128715769086
71.5,2,16541.91458987686
72.5,2,16253.017959665322
73.5,2,16157.556340925861
74.5,2,16299.172887074621
75.5,2,16510.28583060802
76.5,2,16766.06598164007
77.5,2,16915.493220032164
78.5,2,17017.51886594219
79.5,2,17078.14832854346
80.5,2,17001.900985345448
81.5,2,17046.02720580375
82.5,2,17114.362239469174
83.5,2,17145.679066285447
84.5,2,16938.954838929418
85.5,2,16610.35451031248
86.5,2,16396.297421030962
87.5,2,16258.270941997722
88.5,2,16097.463924808912
89.5,2,15954.71370898823
90.5,2,15824.45588117872
91.5,2,15712.944491306316
92.5,2,15440.677380901345
93.5,2,14878.251929137074
94.5,2,14936.782630874797
95.5,2,15166.747423872011
96.5,2,16072.273928381182
97.5,2,16008.807803984368
98.5,2,15868.704189038086
99.5,2,15791.075729998918
100.5,2,15792.416668732949
101.5,2,15754.396734852302
102.5,2,15755.345029666836
103.5,2,16111.794383948796
104.5,2,16294.861104618096
105.5,2,16279.14540497544
106.5,2,16079.474080376376
107.5,2,15838.88896360003
108.5,2,15814.407563064962
109.5,2,15869.026342347073
110.5,2,15735.438211080404
111.5,2,15531.610023592868
112.5,2,15569.593910973872
113.5,2,15714.701839623825
114.5,2,15824.367104424593
115.5,2,15934.357748472908
116.5,2,15958.72771077645
117.5,2,15789.225569900373
118.5,2,15341.378818752752
119.5,2,14845.433434594297
120.5,2,14534.11061160539
121.5,2,14472.236379295691
122.5,2,14508.454551444313
123.5,2,14508.464296193399
124.5,2,14533.924283719543
125.5,2,14645.81391356876
126.5,2,14699.585985981934
127.5,2,14641.141884653853
128.5,2,14615.729731334306
129.5,2,14651.660958443405
130.5,2,14614.466303570995
131.5,2,14581.483310539918
132.5,2,14580.165443866848
133.5,2,14683.812453630084
134.5,2,14888.144781761528
135.5,2,15045.713547786658
136.5,2,15043.320301919679
137.5,2,14935.51636349918
138.5,2,14914.58724190919
139.5,2,14980.274919685271
140.5,2,14943.168004485025
141.5,2,14695.379926054398
142.5,2,14583.934534458092
143.5,2,14713.077178671309
144.5,2,14824.394333152017
145.5,2,14631.818292766591
146.5,2,14555.50094781778
147.5,2,14668.575490113382
148.5,2,14606.828954063834
149.5,2,14381.602841174006
150.5,2,14140.599773122573
151.5,2,13995.383907142299
152.5,2,14028.925744685095
153.5,2,14075.926990189742
154.5,2,13999.101749396761
155.5,2,14110.879007209867
156.5,2,14229.690222115654
157.5,2,14299.021485380206
158.5,2,14409.51313131285
159.5,2,14477.584319110998
160.5,2,14508.458256997092
161.5,2,14365.544261249219
162.5,2,14263.42112785905
163.5,2,14142.820610713903
164.5,2,14241.771648946737
165.5,2,14378.331692108388
166.5,2,14484.53938808863
167.5,2,14433.566547011764
168.5,2,14472.791080082132
169.5,2,14622.864497781633
170.5,2,14691.858451099752
171.5,2,14514.082260552756
172.5,2,14336.144421718107
173.5,2,14158.616936339175
174.5,2,14063.779827503662
175.5,2,14204.525277900662
176.5,2,14401.248738321305
177.5,2,14754.136849167493
178.5,2,14990.748143112696
179.5,2,15094.474682401706
180.5,2,14988.703184729133
181.5,2,14945.705451042013
182.5,2,15078.265902742982
183.5,2,15196.225105901653
184.5,2,15146.66889058712
185.5,2,14903.911505828652
186.5,2,14592.912308613748
187.5,2,14316.033462687807
188.5,2,14291.106473215077
189.5,2,14396.324704935038
190.5,2,14749.763273589459
191.5,2,15061.719629388723
192.5,2,15345.940664989554
193.5,2,15355.067874100403
194.5,2,15313.723885770529
195.5,2,15438.11080663567
196.5,2,15640.555956823373
197.5,2,15940.24015167334
198.5,2,16086.39349682226
199.5,2,16296.044357548511
200.5,2,16412.043101613668
201.5,2,16379.768871656903
202.5,2,16543.521231997944
203.5,2,16692.438747641572
204.5,2,16726.775602033256
205.5,2,16620.04858742861
206.5,2,16595.846458542823
207.5,2,16556.15643548354
208.5,2,16486.83688152032
209.5,2,16447.515087940046
210.5,2,16495.450185381276
211.5,2,16341.967291037663
212.5,2,16065.877476730606
213.5,2,15983.15646300392
214.5,2,15987.203908082056
215.5,2,15816.2044779
216.5,2,15717.094771347181
217.5,2,15714.805126628828
218.5,2,15609.232007789755
219.5,2,15531.019557359701
220.5,2,15660.44639722946
221.5,2,15831.774655520068
222.5,2,15823.197676621357
223.5,2,15868.9889416322
224.5,2,16126.691491054391
225.5,2,16302.239681829316
226.5,2,16258.41072284448
227.5,2,16045.677422020402
228.5,2,15903.114267803765
229.5,2,16061.32615122614
230.5,2,16383.907497979699
231.5,2,16776.989141053673
232.5,2,16776.54447521628
233.5,2,16357.000592593411
234.5,2,16017.171664718504
235.5,2,15929.753878606905
236.5,2,16014.487242277588
237.5,2,16190.945929477883
238.5,2,16368.23678432921
239.5,2,16516.837679574637
240.5,2,16572.81208302725
241.5,2,16476.298397617127
242.5,2,16351.033590518717
243.5,2,16308.89524493205
244.5,2,16420.303040362607
245.5,2,16564.148832319326
246.5,2,16670.266391640638
247.5,2,16563.787901974374
248.5,2,16166.016165992447
249.5,2,15916.477769048166
250.5,2,15960.920345405651
251.5,2,16110.192194894687
252.5,2,16149.021324884847
253.5,2,16038.468037172745
254.5,2,15942.342011753852
255.5,2,16124.516958182612
256.5,2,16266.626534136516
257.5,2,16057.680722201545
258.5,2,15783.78069855066
259.5,2,15407.900845641192
260.5,2,15375.03275634599
261.5,2,15483.315126400046
262.5,2,15573.901715731845
263.5,2,15566.674741315066
264.5,2,15342.15658496289
265.5,2,14647.904675234953
266.5,2,14544.131749187445
267.5,2,14708.588872259008
268.5,2,14902.294127965344
269.5,2,15047.747377206706
270.5,2,15140.786749879791
271.5,2,15009.327560301197
272.5,2,14821.221367822784
273.5,2,14807.678935558875
274.5,2,14997.833810300512
275.5,2,15352.467465164646
276.5,2,15742.556661470175
277.5,2,16133.68589451236
278.5,2,16359.06835087284
279.5,2,16507.587529116478
280.5,2,16660.70241561587
281.5,2,16862.587103561968
282.5,2,17065.35915736026
283.5,2,17261.495629969133
284.5,2,17330.18406101844
285.5,2,17401.971916860028
286.5,2,17476.046277282465
287.5,2,17477.978778626653
288.5,2,17395.944218220986
289.5,2,17460.97455097469
290.5,2,17549.658403473848
291.5,2,17622.467896492082
292.5,2,17582.496217350897
293.5,2,17659.1256814979
294.5,2,17768.64642721251
295.5,2,17877.807443320176
296.5,2,17883.193188512418
297.5,2,17849.74827017383
298.5,2,17780.273073735636
299.5,2,17866.844224585042
300.5,2,18045.268138197294
301.5,2,18224.076209013834
302.5,2,18233.836972260804
303.5,2,18090.806649602615
304.5,2,18024.810696206823
305.5,2,18058.849032978742
306.5,2,18156.84048434972
307.5,2,18359.27862070682
308.5,2,18920.064373027788
309.5,2,19310.334431618383
310.5,2,19446.18247596554
311.5,2,19153.591695279516
312.5,2,18738.830270022037
313.5,2,18648.371134739777
314.5,2,18825.90528186558
315.5,2,19003.71577587884
316.5,2,19110.63406924508
317.5,2,19280.561430328456
318.5,2,19402.9665867339
319.5,2,19417.551155182533
320.5,2,19466.504984265688
321.5,2,19624.229683587724
322.5,2,19906.624622744963
323.5,2,20223.842013173355
324.5,2,20368.1727170266
325.5,2,20279.185535764085
326.5,2,20088.92177708889
327.5,2,19920.105569631593
328.5,2,19721.412356810455
329.5,2,19663.851999792343
330.5,2,19585.87986815866
331.5,2,19412.147593556343
332.5,2,19307.876409331435
333.5,2,19233.997003167402
334.5,2,18989.16903000667
335.5,2,18793.06613796674
336.5,2,18982.8418025277
337.5,2,19480.592408008764
338.5,2,20409.010853261745
339.5,2,21114.528913289236
340.5,2,22230.53965614443
341.5,2,22772.532134878402
342.5,2,23046.14102187471
343.5,2,23766.828051689867
344.5,2,24028.922157062356
345.5,2,24030.96249620365
346.5,2,23660.304985002014
347.5,2,23373.239834564494
348.5,2,22956.11080635039
349.5,2,22484.614223574157
350.5,2,21984.014080414807
351.5,2,21605.121532156765
352.5,2,21394.736152396432
353.5,2,21188.19216807399
354.5,2,21028.996516603886
355.5,2,21201.211292097523
356.5,2,21419.99854129901
357.5,2,21767.67973124052
358.5,2,22060.450854776514
359.5,2,22594.420644915797
360.5,2,23382.39012155975
361.5,2,23741.39126568445
362.5,2,23633.905067417963
363.5,2,23289.326536587367
364.5,2,22308.73036856057
