x,y
0.5,48952.848375095135
1.5,47454.1316780414
2.5,45822.2976803723
3.5,44206.71474889115
4.5,43290.80584836899
5.5,42797.42591601029
6.5,44730.117340423596
7.5,44863.16498873689
8.5,45768.16220587909
9.5,47901.995403792556
10.5,50536.78758824607
11.5,54228.35360292118
12.5,55626.828994050324
13.5,55812.430923482934
14.5,54922.61244855965
15.5,54783.66365820146
16.5,53816.887829456326
17.5,53416.002859970926
18.5,51574.160645334465
19.5,51286.0093342383
20.5,53595.7251588385
21.5,53824.70805062605
22.5,52428.261943137244
23.5,48448.62386514173
