x,y
0.5,29787.98812704596
1.5,30309.68324501844
2.5,29857.941040280384
3.5,29562.09031052549
4.5,28920.616261088006
5.5,29392.59575422365
6.5,32398.402458394605
7.5,33471.867881956074
8.5,31453.328405997916
9.5,31628.79639659297
10.5,32437.734161912736
11.5,33898.19771922999
12.5,32944.498232642676
13.5,32554.32295214925
14.5,32809.76092688765
15.5,33004.538341503685
16.5,32783.07320780692
17.5,34729.89722326208
18.5,35545.243529648214
19.5,35393.121518956155
20.5,34547.622683636706
21.5,33282.556635170535
22.5,31868.89668379691
23.5,30575.975832277156
