x,variable,value
0.5,1,29122.955832212145
1.5,1,30536.575151848356
2.5,1,31922.15725838766
3.5,1,32137.942541107168
4.5,1,32124.89248141707
5.5,1,32126.37646817111
6.5,1,32360.79677033716
7.5,1,33058.71459911913
8.5,1,33582.07469399798
9.5,1,33724.93499813451
10.5,1,33835.15572302394
11.5,1,33916.3439723184
12.5,1,33463.363370146326
13.5,1,32832.46618969864
14.5,1,32253.908483805422
15.5,1,32109.387396061204
16.5,1,32318.397125973825
17.5,1,32222.257281245347
18.5,1,31806.880257155637
19.5,1,31653.201032250436
20.5,1,32063.2872276886
21.5,1,32883.76677180502
22.5,1,33973.269709681415
23.5,1,34929.70169314792
24.5,1,34983.419295920256
25.5,1,34811.458136190544
26.5,1,34586.44602143152
27.5,1,34486.57035107392
28.5,1,34494.19039962583
29.5,1,34389.392649778914
30.5,1,34100.92249780999
31.5,1,33733.31469798884
32.5,1,33819.602054313786
33.5,1,33845.15409731407
34.5,1,33635.94391317018
35.5,1,33107.92888268866
36.5,1,32721.874919445454
37.5,1,32136.21051291148
38.5,1,31196.588399515374
39.5,1,30287.267917448098
40.5,1,29459.89893670855
41.5,1,28465.171513634836
42.5,1,27107.071380344853
43.5,1,25699.93371917979
44.5,1,24322.709189414276
45.5,1,23400.485785534987
46.5,1,22929.41811686689
47.5,1,22577.218972563216
48.5,1,22796.017453823522
49.5,1,23158.326279990903
50.5,1,23813.419759315533
51.5,1,24727.16971500551
52.5,1,25566.16018651261
53.5,1,26313.214892023756
54.5,1,26957.04353069532
55.5,1,27445.712861056407
56.5,1,27805.170924687754
57.5,1,28180.08851229554
58.5,1,28363.581294218122
59.5,1,28339.103952582136
60.5,1,28155.869159704544
61.5,1,27955.38618089733
62.5,1,28650.793224069308
63.5,1,29713.77732873886
64.5,1,30623.131765203947
65.5,1,31088.67784934572
66.5,1,31071.740433531035
67.5,1,30455.93304277364
68.5,1,29514.420904783714
69.5,1,28415.950400405764
70.5,1,27780.2987272552
71.5,1,27407.69466209519
72.5,1,27467.397999445882
73.5,1,27828.20262448618
74.5,1,29080.685274929496
75.5,1,30021.941907233406
76.5,1,30269.63756476594
77.5,1,30655.878830407506
78.5,1,31206.175245098042
79.5,1,31174.42245212837
80.5,1,30439.91147563956
81.5,1,29697.802562147506
82.5,1,29242.62891078677
83.5,1,28958.80288611443
84.5,1,28675.880132712864
85.5,1,28657.48362958191
86.5,1,28846.305734453057
87.5,1,29146.457728271074
88.5,1,29587.857481916988
89.5,1,29572.282595347147
90.5,1,29384.368546060246
91.5,1,29482.385808864085
92.5,1,29489.124731030202
93.5,1,29326.15941794412
94.5,1,29369.60024433361
95.5,1,29929.077719311008
96.5,1,30259.095951440366
97.5,1,30535.52200080755
98.5,1,30520.273006240215
99.5,1,30423.70940632451
100.5,1,30250.88382181612
101.5,1,29871.32188077658
102.5,1,29915.674469556438
103.5,1,30206.197256196712
104.5,1,30341.806670163915
105.5,1,30459.210149467
106.5,1,30633.62245548507
107.5,1,30695.34966659115
108.5,1,30610.616145926328
109.5,1,30240.20490098388
110.5,1,29781.531854924473
111.5,1,29821.330075772818
112.5,1,30123.861901151842
113.5,1,30314.532466868426
114.5,1,30425.66917287354
115.5,1,30658.633089063143
116.5,1,30909.139545545633
117.5,1,30783.935951715
118.5,1,30322.474090905198
119.5,1,29678.801575336714
120.5,1,29207.488929990915
121.5,1,29671.1426341247
122.5,1,30573.48775489561
123.5,1,30755.20276153813
124.5,1,30480.628538981102
125.5,1,30324.83758006061
126.5,1,30435.906643467264
127.5,1,30710.252384888427
128.5,1,30897.549754074367
129.5,1,31174.77949571686
130.5,1,31187.943508117958
131.5,1,31146.481268395917
132.5,1,31305.419596973374
133.5,1,31903.476669822834
134.5,1,32032.77563988014
135.5,1,32164.132261155602
