x,variable,value
0.5,1,16356.249638100688
1.5,1,17244.034985028356
2.5,1,18208.974578508885
3.5,1,18613.378563332113
4.5,1,18709.32467561983
5.5,1,18823.726112142733
6.5,1,18977.381480985587
7.5,1,19030.580399619375
8.5,1,18725.0124642055
9.5,1,18340.214891772906
10.5,1,18438.880636496895
11.5,1,18605.206468319597
12.5,1,18486.827383751515
13.5,1,18252.548907251115
14.5,1,18283.21879370821
15.5,1,18486.33423436667
16.5,1,18541.881319398854
17.5,1,18691.17565223402
18.5,1,18712.477165348733
19.5,1,18555.4861748486
20.5,1,18430.150923867055
21.5,1,18564.725230325115
22.5,1,18901.362609745418
23.5,1,19525.28738485358
24.5,1,19674.09255297823
25.5,1,19518.50751410175
26.5,1,18951.19649140658
27.5,1,18568.574280578217
28.5,1,18620.540757923154
29.5,1,18862.550840324722
30.5,1,18733.78097055889
31.5,1,18515.78631359771
32.5,1,18265.87600828964
33.5,1,18052.01114697484
34.5,1,17999.88248503447
35.5,1,18001.19966072859
36.5,1,17707.813377965456
37.5,1,17077.547926711413
38.5,1,16614.973259806367
39.5,1,15976.453136255413
40.5,1,15261.58747259398
41.5,1,14791.26244524173
42.5,1,14109.466609676667
43.5,1,13135.559978827148
44.5,1,12402.209445452101
45.5,1,12343.513324037842
46.5,1,12214.973256396494
47.5,1,11853.777995277866
48.5,1,11985.988491131891
49.5,1,12246.61426420505
50.5,1,12551.442835095158
51.5,1,12923.007454090508
52.5,1,13337.127131946907
53.5,1,13561.73530054593
54.5,1,13646.618136680352
55.5,1,13796.084750777563
56.5,1,14045.608400911571
57.5,1,14358.983788729356
58.5,1,14613.788571626654
59.5,1,14765.22628071161
60.5,1,14759.926631610593
61.5,1,14657.105924440659
62.5,1,14792.942977368912
63.5,1,15062.276215112483
64.5,1,15405.996431532172
65.5,1,15812.765074627589
66.5,1,16004.545657223185
67.5,1,15989.158309641938
68.5,1,15613.067141261166
69.5,1,15355.497786660215
70.5,1,15251.997644448356
71.5,1,15304.689847019337
72.5,1,15413.924396546063
73.5,1,15348.980531309126
74.5,1,15435.791710356025
75.5,1,15537.016506219074
76.5,1,15627.090782098792
77.5,1,15790.025788444578
78.5,1,16108.102537720355
79.5,1,16169.24133376094
80.5,1,16067.545594004845
81.5,1,15928.073319056457
82.5,1,15612.182119510164
83.5,1,15473.621822296844
84.5,1,15435.41674569964
85.5,1,15580.21605461219
86.5,1,15679.065625407497
87.5,1,15786.856129155194
88.5,1,15732.872430214376
89.5,1,15788.822445136397
90.5,1,15749.884355269052
91.5,1,15784.460820814214
92.5,1,15773.828148041055
93.5,1,15263.644216198569
94.5,1,14839.469070943627
95.5,1,14658.006716449978
96.5,1,15018.63231748947
97.5,1,15493.88554974928
98.5,1,15851.07160659636
99.5,1,16104.558910987582
100.5,1,16245.70605733668
101.5,1,16123.661986168612
102.5,1,15942.731330279676
103.5,1,15947.013657640602
104.5,1,15891.406018145744
105.5,1,15946.537682235898
106.5,1,16103.016096747524
107.5,1,16110.708099761181
108.5,1,16202.716541774522
109.5,1,16288.350411051968
110.5,1,16145.570433811516
111.5,1,15979.654651027675
112.5,1,15767.49478947726
113.5,1,15624.954215803185
114.5,1,15675.355983438347
115.5,1,15829.358962660037
116.5,1,15950.3992438439
117.5,1,15923.843074996026
118.5,1,15630.101966290806
119.5,1,15202.370115144176
120.5,1,14975.492457692924
121.5,1,15305.647679606584
122.5,1,15899.275753084623
123.5,1,16214.251433513075
124.5,1,16170.983216130071
125.5,1,16111.227459968892
126.5,1,16054.330629590591
127.5,1,16219.188217467448
128.5,1,16460.53271007042
129.5,1,16547.62549227783
130.5,1,16599.038427708238
131.5,1,16594.59355292774
132.5,1,16489.5065566049
133.5,1,16716.601327885917
134.5,1,17457.131021132696
135.5,1,18493.284129218297
136.5,1,19155.82558292688
137.5,1,18941.518153741403
138.5,1,17988.14157880726
139.5,1,17229.736390152495
140.5,1,16973.2230007409
141.5,1,16870.258027404267
142.5,1,16905.109274553797
143.5,1,17103.303038331374
144.5,1,17305.701971612423
145.5,1,17218.338589490926
146.5,1,17060.178642591993
147.5,1,17047.407621036236
148.5,1,17132.243203994407
149.5,1,16920.22921710425
150.5,1,16550.510353245616
151.5,1,16387.977903847383
152.5,1,16374.597881020325
153.5,1,16518.258622579822
154.5,1,16728.571111602763
155.5,1,17017.649789925348
156.5,1,17606.557543606195
157.5,1,17961.1042374226
158.5,1,18215.10172485596
159.5,1,18015.509112530985
160.5,1,17689.7049806768
161.5,1,17703.621016133697
162.5,1,18087.223446156124
163.5,1,18550.67072068605
164.5,1,19130.713254908977
165.5,1,19647.406266192767
166.5,1,19721.404562849155
167.5,1,19356.5271576779
168.5,1,18928.537736882274
169.5,1,18806.074636696318
170.5,1,18751.304456152608
171.5,1,18783.91821105477
172.5,1,18836.74300452752
173.5,1,18795.13596462023
174.5,1,18943.449967066565
175.5,1,19974.387142233812
176.5,1,21509.12924834666
177.5,1,23166.69236062655
178.5,1,23706.39020550237
179.5,1,23210.929027422808
180.5,1,21913.758120499035
181.5,1,20611.171255544436
182.5,1,20553.26955552729
183.5,1,20916.04700164679
184.5,1,21344.52093702114
185.5,1,20771.241268857735
186.5,1,20252.730130574968
187.5,1,19791.828601552374
188.5,1,19817.97889658677
189.5,1,20212.76113827395
190.5,1,21174.823881776058
191.5,1,22111.31848653861
192.5,1,21986.227890271402
193.5,1,22000.90733543952
194.5,1,22520.594342510754
195.5,1,23371.039025558075
196.5,1,24107.91776659589
197.5,1,24939.493203387818
198.5,1,25951.046712464064
199.5,1,26528.657071527876
200.5,1,26866.923914930536
201.5,1,26963.842926877645
202.5,1,26693.046962074197
203.5,1,26528.371640636018
204.5,1,26888.187845903456
205.5,1,27113.064450029127
206.5,1,27073.86110434423
207.5,1,26189.1018379173
208.5,1,24558.921687039026
209.5,1,23728.763472382125
210.5,1,23191.068441468124
211.5,1,23238.360201676882
212.5,1,23187.890853771278
213.5,1,23225.456486750314
214.5,1,23610.607958065062
215.5,1,23696.190813428664
216.5,1,23663.421024161846
217.5,1,24114.416397474193
218.5,1,25044.64443511443
219.5,1,25664.515461786206
220.5,1,26155.806924738612
221.5,1,26002.175285207362
222.5,1,25978.25695746183
223.5,1,25992.03110886234
224.5,1,25770.121049341087
225.5,1,25531.987385463555
226.5,1,25446.96753756716
227.5,1,24427.08682902489
228.5,1,22688.626507212753
229.5,1,21127.28719148774
230.5,1,20476.22045338808
231.5,1,21065.966390833666
232.5,1,21793.939492154914
233.5,1,21910.072156441314
234.5,1,21705.092106306285
235.5,1,21384.42855808185
236.5,1,21223.581960619023
237.5,1,20894.321707688236
238.5,1,20861.889855749912
239.5,1,21903.692712938373
240.5,1,23116.59798656144
241.5,1,23973.683652526164
242.5,1,23655.092586177587
243.5,1,23082.464558091517
244.5,1,22469.403666192156
245.5,1,22638.196566219536
246.5,1,23249.76622282557
247.5,1,22918.37387605341
248.5,1,21927.888012987543
249.5,1,20830.80035205557
250.5,1,19026.80052377345
251.5,1,18344.279984687404
252.5,1,18229.691592953714
253.5,1,18265.73879159858
254.5,1,18159.20106358052
255.5,1,18284.12024519814
256.5,1,18910.856770319642
257.5,1,19238.043064543115
258.5,1,19114.62479293462
259.5,1,18858.83344808999
260.5,1,19108.82658966367
261.5,1,19543.345260621678
262.5,1,19592.89083726194
263.5,1,19157.71401660771
264.5,1,18799.53528721886
265.5,1,18330.421385581853
266.5,1,17869.722960849136
267.5,1,17511.33182005304
268.5,1,17731.11313134849
269.5,1,18082.52489550964
270.5,1,18085.536873793542
271.5,1,17904.24259750476
272.5,1,17127.276004196556
273.5,1,16360.036161921922
274.5,1,15524.96576007255
275.5,1,15289.851835001675
276.5,1,15572.687557109688
277.5,1,16098.494211101566
278.5,1,16537.58469098148
279.5,1,17041.835916465407
280.5,1,17370.46601008551
281.5,1,17472.62958653363
282.5,1,17517.298383201964
283.5,1,17621.77531815411
284.5,1,17673.939172795515
285.5,1,17645.422182596398
286.5,1,17432.56192260296
287.5,1,17315.38095504467
288.5,1,17492.842373232506
289.5,1,17570.411842567704
290.5,1,17613.90674945378
291.5,1,17565.510240790307
292.5,1,17464.163004689923
293.5,1,17257.339215775726
294.5,1,17245.88034715293
295.5,1,17390.330538376948
296.5,1,17488.79401776948
297.5,1,17348.217613471177
298.5,1,17239.90188674125
299.5,1,17016.213084301817
300.5,1,16536.872245943097
301.5,1,16432.97666695525
302.5,1,16530.531598280224
303.5,1,16634.22350988907
