x,y
0.5,40844.35458051927
1.5,39923.92378404548
2.5,38898.19897569936
3.5,38583.72950338709
4.5,37773.28883984081
5.5,38513.749107082855
6.5,41008.33213265423
7.5,41819.645199433864
8.5,44070.6678015953
9.5,46651.80491870386
10.5,48841.32115706541
11.5,51562.90843020838
12.5,48995.14543877107
13.5,49050.49438114668
14.5,49659.115211556265
15.5,50092.7300862869
16.5,50382.85115526156
17.5,50257.7358053111
18.5,50258.344534150885
19.5,49694.96038812236
20.5,49898.7887898513
21.5,49008.527727147724
22.5,47340.45105897082
23.5,44195.69177694956
