x,y
0.5,17789.412705738225
1.5,17827.255939954408
2.5,17324.46875217111
3.5,17487.261661853354
4.5,16977.45548883619
5.5,17536.772811970895
6.5,18138.352866092486
7.5,18356.44931654268
8.5,18683.377517915374
9.5,19273.690233806446
10.5,19921.032179725902
11.5,20292.97231870127
12.5,19317.264157401063
13.5,19524.25414208627
14.5,19688.829522058844
15.5,20023.611223951473
16.5,20453.419893451304
17.5,20461.64986652108
18.5,20412.046662298857
19.5,20414.888352516224
20.5,20458.957231435274
21.5,19898.229511610705
22.5,19106.923219716624
23.5,18483.92813327024
