x,y
0.5,23054.94187478104
1.5,22096.667844091073
2.5,21573.73022352825
3.5,21096.467841533737
4.5,20795.833351004625
5.5,20976.976295111963
6.5,22869.979266561742
7.5,23463.195882891185
8.5,25387.290283679926
9.5,27378.114684897417
10.5,28920.288977339504
11.5,31269.936111507104
12.5,29677.881281370006
13.5,29526.240239060407
14.5,29970.28568949742
15.5,30069.118862335425
16.5,29929.431261810256
17.5,29796.085938790024
18.5,29846.297871852028
19.5,29280.07203560614
20.5,29439.83155841603
21.5,29110.298215537023
22.5,28233.527839254202
23.5,25711.763643679322
