x,y
0.5,3633.0099611572814
1.5,3423.770675619
2.5,3254.1062503540657
3.5,3129.797498980204
4.5,3059.1430564033412
5.5,3040.502062344361
6.5,3107.235758527681
7.5,3185.1247069429883
8.5,3421.328250903452
9.5,3733.514445614528
10.5,3847.3966967365864
11.5,3658.7655926793464
12.5,3465.8805131130634
13.5,3399.006535730227
14.5,3374.4038812264826
15.5,3412.1658622118644
16.5,3556.15724621547
17.5,3719.2557845848974
18.5,3594.9100584641574
19.5,3770.431824829292
20.5,3770.2164247464734
21.5,3631.1699033697487
22.5,3402.171588981192
23.5,3216.5949437013837
