x,y
0.5,2840.1588540103016
1.5,2667.2721081720674
2.5,2565.667334899759
3.5,2464.824102427781
4.5,2389.9437145783863
5.5,2447.835521478632
6.5,2591.7057227173464
7.5,2750.5210154988517
8.5,2862.6072596799404
9.5,3111.452053674956
10.5,3236.208787524397
11.5,3190.5785598413886
12.5,3116.185698449755
13.5,3060.2342603923366
14.5,3042.47060693696
15.5,3076.3827186928347
16.5,3215.2485780356797
17.5,3482.2974020940846
18.5,3513.7494442511083
19.5,3598.634844648608
20.5,3444.8233276771953
21.5,3310.6939111072106
22.5,3140.0094897100676
23.5,2955.475330549682
