x,variable,value
0.5,1,1839.7855798917979
1.5,1,1847.0903804454138
2.5,1,1902.4289282826985
3.5,1,1953.5715830586178
4.5,1,1976.8863911272422
5.5,1,1965.9096835223254
6.5,1,1948.285173040266
7.5,1,1929.8311396791257
8.5,1,1908.8523284444132
9.5,1,1891.2584757856935
10.5,1,1895.265696978362
11.5,1,1916.1977709308455
12.5,1,1927.848063814321
13.5,1,1910.0906117412937
14.5,1,1903.5850216844608
15.5,1,1931.5191583151595
16.5,1,1955.6092008814514
17.5,1,1966.2888745546197
18.5,1,1962.0258703036495
19.5,1,1965.0861399255655
20.5,1,1966.1285198604867
21.5,1,1977.7755361624056
22.5,1,1996.222115498323
23.5,1,2019.3089532750919
24.5,1,2037.6612390826326
25.5,1,2038.701003214996
26.5,1,2026.874067772842
27.5,1,2005.3161623535223
28.5,1,1969.1729228480071
29.5,1,1937.735856158507
30.5,1,1933.9837599126515
31.5,1,1947.5452819828286
32.5,1,1971.0542007727702
33.5,1,1959.974531863315
34.5,1,1953.2612688022637
35.5,1,1953.7533289693274
36.5,1,1966.8781134547528
37.5,1,1954.6437148510615
38.5,1,1924.6039992145083
39.5,1,1905.6485908858174
40.5,1,1839.8079347621529
41.5,1,1763.1832602481422
42.5,1,1709.6332846859757
43.5,1,1697.7679050854706
44.5,1,1670.3733918167811
45.5,1,1670.3572157273443
46.5,1,1685.0176006746105
47.5,1,1683.0883470051351
48.5,1,1691.9001815632053
49.5,1,1715.8082666264577
50.5,1,1733.966112907019
51.5,1,1757.5492902848514
52.5,1,1776.1431024282324
53.5,1,1765.639500933747
54.5,1,1769.4377964877679
55.5,1,1788.0301053553699
56.5,1,1809.5493894799856
57.5,1,1820.8353150892394
58.5,1,1831.428126083302
59.5,1,1856.3542701795832
60.5,1,1910.6301743276103
61.5,1,1963.430466392812
62.5,1,2050.8512976489583
63.5,1,2133.6959142621427
64.5,1,2193.5090809643098
65.5,1,2206.714966599771
66.5,1,2072.8704036886584
67.5,1,1970.9637280982713
68.5,1,1866.6983057953476
69.5,1,1886.7177445722173
70.5,1,1921.9795543556804
71.5,1,1940.1511655308063
72.5,1,1935.8687661217623
73.5,1,1938.3050708573026
74.5,1,1979.819200682697
75.5,1,2057.8852203057745
76.5,1,2109.842234263778
77.5,1,2142.952630969221
78.5,1,2122.248791284322
79.5,1,2062.6004227079015
80.5,1,2026.557408045214
81.5,1,2042.1476859722204
82.5,1,2074.0193433975055
83.5,1,2089.8520499635715
84.5,1,2108.2156987257167
85.5,1,2127.5043157603927
86.5,1,2155.332812392197
87.5,1,2186.699638538448
88.5,1,2215.5855530998724
