x,y
0.5,7557.252681420228
1.5,7472.1942853455075
2.5,7386.321911199777
3.5,7385.544209383436
4.5,7754.45677944014
5.5,8960.596573848581
6.5,9726.142014185443
7.5,9584.012417880715
8.5,9919.671681902646
9.5,10123.049596455576
10.5,10652.97160994081
11.5,10510.232042733975
12.5,9709.318330079015
13.5,9821.555430299875
14.5,9803.68167955215
15.5,10011.941626717111
16.5,10906.644809167201
17.5,10834.251703947226
18.5,10137.532529897819
19.5,10425.33698776346
20.5,10018.711273197303
21.5,9267.311968029679
22.5,8500.028635242072
23.5,7764.7526237652455
