x,y
0.5,7326.914190725728
1.5,7172.764837364934
2.5,7183.600199095614
3.5,7122.020757066937
4.5,7323.678734272182
5.5,8142.615301293998
6.5,9320.168985182861
7.5,9221.0724492871
8.5,9037.110038572186
9.5,9139.438646749773
10.5,9445.679629081213
11.5,9491.745019402208
12.5,8862.299269743598
13.5,8951.729126773638
14.5,8927.34822154722
15.5,9304.175515856808
16.5,10114.181507730349
17.5,10557.919672217917
18.5,10157.612766303373
19.5,9926.440848653921
20.5,9501.669221652224
21.5,8974.99199387453
22.5,8165.246453380352
23.5,7530.736479051376
