x,variable,value
0.5,1,9153.839624804516
1.5,1,9175.954309549603
2.5,1,9230.48747025256
3.5,1,9248.43624228957
4.5,1,9227.825592590876
5.5,1,9132.042844542177
6.5,1,9065.701451503131
7.5,1,9121.120912056767
8.5,1,9166.735141223453
9.5,1,9211.599241031641
10.5,1,9200.64065455784
11.5,1,9097.77715235505
12.5,1,9024.5791801106
13.5,1,9106.327091285139
14.5,1,9242.084246896155
15.5,1,9369.638547485392
16.5,1,9371.063845463654
17.5,1,9239.293896650192
18.5,1,9247.493933307323
19.5,1,9288.266697619172
20.5,1,9356.801101414929
21.5,1,9473.896919590683
22.5,1,9511.94020559384
23.5,1,9512.035748633172
24.5,1,9529.841516009696
25.5,1,9531.824261513319
26.5,1,9514.345705327509
27.5,1,9443.988469515325
28.5,1,9376.439003969615
29.5,1,9298.092189183853
30.5,1,9203.535804818242
31.5,1,9146.886733277075
32.5,1,9207.372846676082
33.5,1,9170.261567218135
34.5,1,9071.584776066558
35.5,1,9058.044194049126
36.5,1,9043.134437896824
37.5,1,8944.225137658234
38.5,1,8833.329436590833
39.5,1,8801.877916682251
40.5,1,8798.746470869863
41.5,1,8739.83226555271
42.5,1,8680.853258142233
43.5,1,8545.301106098179
44.5,1,8418.975861325844
45.5,1,8414.75074993095
46.5,1,8398.963620000548
47.5,1,8304.303772278325
48.5,1,8140.167272007081
49.5,1,8114.514835929222
50.5,1,8195.03180200788
51.5,1,8232.543758613336
52.5,1,8326.594889017
53.5,1,8432.04219877278
54.5,1,8478.142596249842
55.5,1,8501.0798158254
56.5,1,8459.355614828792
57.5,1,8434.319036770383
58.5,1,8481.910188586582
59.5,1,8496.70020974874
60.5,1,8476.257058822006
61.5,1,8478.136024979704
62.5,1,8419.822833261436
63.5,1,8487.286345014318
64.5,1,8581.915687396042
65.5,1,8668.401673089
66.5,1,8693.367510302412
67.5,1,8629.891058456707
68.5,1,8552.31954241132
69.5,1,8475.35760870771
70.5,1,8435.771675237582
71.5,1,8433.626412160962
72.5,1,8439.928531561474
73.5,1,8397.904255121184
74.5,1,8335.17909313342
75.5,1,8231.765164231174
76.5,1,8098.559917891922
77.5,1,8090.265411117671
78.5,1,8132.606645703893
79.5,1,8110.774818714324
80.5,1,8053.072177733493
81.5,1,8032.430704010498
82.5,1,7978.735992852411
83.5,1,7862.864553224986
84.5,1,7704.199804457795
85.5,1,7589.052708801748
86.5,1,7589.392808640848
87.5,1,7813.063307833008
88.5,1,7825.858215408011
89.5,1,7767.58806564228
90.5,1,7708.812182920445
91.5,1,7699.168913521008
92.5,1,7741.221057340562
93.5,1,7790.000790739971
94.5,1,7794.814844207589
95.5,1,7857.312636999132
96.5,1,7889.372343569378
97.5,1,7887.5605989750175
98.5,1,7887.575244877865
99.5,1,7850.144356440981
100.5,1,7806.104858672254
101.5,1,7799.11696233578
102.5,1,7845.898184505628
103.5,1,7834.051611378693
104.5,1,7781.555156586399
105.5,1,7786.121104652619
106.5,1,7786.046198407108
107.5,1,7786.036549929065
108.5,1,7785.320532498638
109.5,1,7806.489202974412
110.5,1,7841.994010716306
111.5,1,7921.8505582275075
112.5,1,7984.267575012626
113.5,1,8153.225447274686
114.5,1,8208.794768124799
115.5,1,8125.739290755765
116.5,1,8070.865466200255
117.5,1,8110.586228694252
118.5,1,8013.09318141623
119.5,1,7925.323961964823
120.5,1,7924.673045556031
121.5,1,7976.344728335009
122.5,1,7948.757931749756
123.5,1,7960.6940567564
124.5,1,8073.694788851631
125.5,1,8088.445808335558
126.5,1,8090.725423776322
127.5,1,8150.19906168685
128.5,1,8137.005462260152
129.5,1,8045.096020557224
130.5,1,7977.609288388481
131.5,1,7932.9669325062605
132.5,1,7841.336806012974
133.5,1,7760.518962503844
134.5,1,7676.670203816105
135.5,1,7581.86299380776
136.5,1,7622.310997085881
137.5,1,7704.7675624128005
138.5,1,7726.717421681338
139.5,1,7756.942906954748
140.5,1,7863.134175690718
141.5,1,7834.127362999332
142.5,1,7748.765140866289
143.5,1,7814.2413273190605
144.5,1,7889.894871435724
145.5,1,7867.5465933048445
146.5,1,7666.084479978749
147.5,1,7642.238435135958
148.5,1,7793.82183313337
149.5,1,7928.401951132416
150.5,1,8070.990194227333
151.5,1,8186.689387901356
152.5,1,8362.603960408016
153.5,1,8328.903969185978
154.5,1,8147.280950075656
155.5,1,7930.768646651478
156.5,1,7812.92069514843
157.5,1,7659.433362839471
158.5,1,7556.066179281081
159.5,1,7537.852362411515
160.5,1,7588.325098909552
161.5,1,7648.727554661835
162.5,1,7728.499685517428
163.5,1,7764.091581565701
164.5,1,7705.635069992574
165.5,1,7605.588049700606
166.5,1,7507.268953339385
167.5,1,7395.351526887507
168.5,1,7232.668900704867
169.5,1,7210.090906087316
170.5,1,7326.076312654143
171.5,1,7343.858555155868
172.5,1,7381.298533744467
