x,y
0.5,11590.973599048399
1.5,11082.875467646007
2.5,10847.375747401655
3.5,10540.652219706144
4.5,10632.18796025662
5.5,11060.713076757764
6.5,12518.11363696355
7.5,13232.836926905615
8.5,13626.094629058385
9.5,14267.85686425009
10.5,14789.881715292664
11.5,15478.201228626162
12.5,14220.452594274151
13.5,13494.485596118828
14.5,13447.819564271202
15.5,13049.281767633895
16.5,14222.236668798074
17.5,15136.470436084566
18.5,15930.532630180991
19.5,15815.63197236589
20.5,15199.057444704742
21.5,14343.416078033995
22.5,13761.650045458839
23.5,12589.739973106936
