x,y
0.5,5196.407196905415
1.5,5122.759174808255
2.5,5131.88952773909
3.5,5105.251060973464
4.5,5142.1308779897
5.5,5491.095025459689
6.5,5985.284299649128
7.5,5899.508593311576
8.5,5854.900409398882
9.5,5926.434027591355
10.5,6238.1448948067
11.5,6314.520238390635
12.5,5995.47740281437
13.5,5844.542471288147
14.5,6009.030565026979
15.5,5997.923459268729
16.5,6137.821037276552
17.5,6522.916205991238
18.5,6467.14006973895
19.5,6368.49777705728
20.5,6261.541053701438
21.5,6191.796842060262
22.5,5756.562167050561
23.5,5446.72643248161
