x,y
0.5,5369.979978633772
1.5,5336.265246783985
2.5,5352.077670781094
3.5,5319.358242461914
4.5,5344.849414212618
5.5,5533.995096038313
6.5,5957.254413705753
7.5,5901.3046519834525
8.5,5836.23149276361
9.5,5846.5175459577895
10.5,5942.977352714332
11.5,6069.1127989131355
12.5,5649.610000239393
13.5,5588.949226401015
14.5,5574.591300097399
15.5,5659.450973317644
16.5,5924.827146008643
17.5,6413.428296624721
18.5,6644.38201097903
19.5,6480.962607721516
20.5,6350.453311264518
21.5,6273.6108755112955
22.5,6016.147408342764
23.5,5772.987337701034
