x,variable,value
0.5,1,26736.69908154763
1.5,1,26780.876587874845
2.5,1,26863.558305012615
3.5,1,26935.991239868432
4.5,1,26841.359267243093
5.5,1,26453.04351653265
6.5,1,26182.82267563512
7.5,1,26131.07218901823
8.5,1,26309.59210263429
9.5,1,26588.05172236818
10.5,1,26698.299188225057
11.5,1,26659.57395278473
12.5,1,26581.753428414882
13.5,1,26501.248377051208
14.5,1,26464.42720217504
15.5,1,26338.44146607918
16.5,1,26263.507504043875
17.5,1,26369.428024823315
18.5,1,26505.46692829433
19.5,1,26502.34000512015
20.5,1,26603.00006275829
21.5,1,26786.171560120994
22.5,1,26816.78015751465
23.5,1,26822.068551348584
24.5,1,26899.97953756836
25.5,1,26894.39873786885
26.5,1,26694.27050702816
27.5,1,26501.23073301859
28.5,1,26502.0606134121
29.5,1,26501.887654139424
30.5,1,26471.391728244278
31.5,1,26384.029676690392
32.5,1,26290.69730312038
33.5,1,26225.28711154808
34.5,1,26316.974716193516
35.5,1,26347.938336224383
36.5,1,26086.46265756185
37.5,1,25872.273514433924
38.5,1,25910.57417624961
39.5,1,26045.409366560096
40.5,1,26021.14890776628
41.5,1,25775.6478734652
42.5,1,25755.218949557348
43.5,1,25796.539999076533
44.5,1,25754.028294798383
45.5,1,25469.933411907037
46.5,1,25283.187987033532
47.5,1,25319.1527723306
48.5,1,25397.696745051613
49.5,1,25569.50988518644
50.5,1,25636.42885686328
51.5,1,25664.699874958693
52.5,1,25675.96694172085
53.5,1,25908.246960725995
54.5,1,26039.198543912462
55.5,1,25989.78213853034
56.5,1,26055.673071924433
57.5,1,26104.526826126712
58.5,1,26062.528858454716
59.5,1,26068.211405661397
60.5,1,26027.686613613292
61.5,1,26148.501790981827
62.5,1,26148.775971981908
63.5,1,25991.264926327272
64.5,1,25851.52563571443
65.5,1,25831.33280510848
66.5,1,25973.869990895917
67.5,1,26102.528442462284
68.5,1,26177.352947263556
69.5,1,26038.008408837566
70.5,1,25905.809670533254
71.5,1,25804.434273796054
72.5,1,25710.581076750856
73.5,1,25889.29165457348
74.5,1,26237.843681985873
75.5,1,26230.953197328105
76.5,1,26194.911222577408
77.5,1,26329.037213650012
78.5,1,26382.247742145795
79.5,1,26323.294277801262
80.5,1,26266.488083311546
81.5,1,26187.421586049742
82.5,1,26109.282425249476
83.5,1,25911.818417006813
84.5,1,25756.953169093234
85.5,1,25759.73941607134
86.5,1,25796.387078369313
87.5,1,25609.79272829925
88.5,1,25450.059691635804
89.5,1,25358.615709293284
90.5,1,25247.023372257452
91.5,1,25252.396485459885
92.5,1,25618.302748025
93.5,1,25753.2729136211
94.5,1,25548.891932689487
95.5,1,25363.933584944814
96.5,1,25438.967939236474
97.5,1,25321.43085404345
98.5,1,25285.262852458538
99.5,1,25361.307232990475
100.5,1,25420.594316831215
101.5,1,25326.76309017631
102.5,1,25310.058883884616
103.5,1,25661.485532078874
104.5,1,25772.241996096545
105.5,1,25461.265823185317
106.5,1,25109.713988561907
107.5,1,25002.08054074524
108.5,1,25049.04482905843
109.5,1,25010.688261028463
110.5,1,25135.897651036175
111.5,1,25362.484317274877
112.5,1,25483.38865169504
113.5,1,25623.27725441652
114.5,1,25557.48597632042
115.5,1,25554.844542328487
116.5,1,25675.704159274625
117.5,1,25546.831171341513
118.5,1,25516.775493946763
119.5,1,25556.156331826907
120.5,1,25520.922795588285
121.5,1,25528.908951016576
122.5,1,25595.129050760508
123.5,1,25596.516318090664
124.5,1,25696.65194672456
125.5,1,25844.362781369346
126.5,1,25740.455361376477
127.5,1,25552.137187451863
128.5,1,25763.810185287708
129.5,1,26069.32426634152
130.5,1,25909.746987380404
131.5,1,25673.46021537646
132.5,1,25554.93142204264
133.5,1,25597.48103056704
134.5,1,25780.7265399602
135.5,1,26027.891954613704
136.5,1,25948.339201524977
137.5,1,25950.2606317877
138.5,1,25809.080738535078
139.5,1,25633.606679197597
140.5,1,25617.677793097275
141.5,1,25454.47956559169
142.5,1,25394.95012447033
143.5,1,25387.15594350014
144.5,1,25605.661357319055
145.5,1,25671.303532200014
146.5,1,25719.411064955937
147.5,1,25736.392790273112
148.5,1,25874.932336453243
149.5,1,25937.452907115097
150.5,1,25755.367538971543
151.5,1,25757.2838531128
152.5,1,25913.021430029403
153.5,1,25885.6070760681
154.5,1,25683.35005606916
155.5,1,25677.265433975714
156.5,1,25713.587423065317
157.5,1,25787.4593721026
158.5,1,25648.72000783665
159.5,1,25521.04875524525
160.5,1,25667.486146660365
161.5,1,25676.217848450793
162.5,1,25677.622595320896
163.5,1,25721.319384422106
164.5,1,25835.82137547305
165.5,1,25673.58789347005
166.5,1,25511.012209073113
167.5,1,25479.436427560053
168.5,1,25443.93677681394
169.5,1,25326.214355684413
170.5,1,25241.862984440722
171.5,1,25133.47125529337
172.5,1,24926.62212596038
173.5,1,24918.85722792128
174.5,1,25051.596479139578
175.5,1,25090.67308495592
176.5,1,25085.765052135976
177.5,1,25132.534580298932
178.5,1,25096.16770346702
179.5,1,25318.2098440814
180.5,1,25603.56162965739
181.5,1,25675.77196253953
182.5,1,25635.69689305959
183.5,1,25636.72427221769
184.5,1,25676.113640327214
185.5,1,25657.05322961501
186.5,1,25561.863329509277
187.5,1,25376.22881477699
188.5,1,25399.48651797782
189.5,1,25246.8848608194
190.5,1,25120.013114355337
191.5,1,25297.01602751653
192.5,1,25675.898001461
193.5,1,25920.27194585935
194.5,1,25952.643572675406
195.5,1,26071.29685366962
196.5,1,26010.29790015792
197.5,1,25910.638304801934
198.5,1,25902.513726206107
199.5,1,26072.15611893781
200.5,1,25870.817571918466
201.5,1,25754.925730961888
202.5,1,25868.13690216647
203.5,1,25914.309454698112
204.5,1,25753.025312788133
205.5,1,25866.39427797654
206.5,1,26260.97470885194
207.5,1,26416.368377794974
208.5,1,26638.598530319596
209.5,1,26919.617158065143
210.5,1,27181.69846940925
211.5,1,27393.920619758046
212.5,1,27319.16702020415
213.5,1,27312.608088132856
214.5,1,27530.14942933902
215.5,1,27655.137393386987
216.5,1,27358.528900036392
217.5,1,27065.17872182384
218.5,1,27092.16969559645
219.5,1,27204.605318368136
220.5,1,27327.037551427005
221.5,1,27315.23988903353
222.5,1,27136.41048027562
223.5,1,26984.065276825462
224.5,1,26963.41117011153
225.5,1,27143.2416444202
226.5,1,27173.117352254052
227.5,1,27170.70665154376
228.5,1,27308.117493450758
229.5,1,27603.875541549896
230.5,1,27633.592304496775
231.5,1,27854.387696350524
232.5,1,28187.27129170294
233.5,1,28389.94446201087
234.5,1,28242.807403546394
235.5,1,28391.55028596528
236.5,1,28494.270820348982
237.5,1,28312.47055442877
238.5,1,28147.21239336402
239.5,1,28037.120253120676
240.5,1,27985.11084355044
241.5,1,27805.086522077676
242.5,1,27708.104842855886
243.5,1,27346.301944994604
244.5,1,26686.662163634683
245.5,1,26640.530624886167
246.5,1,27051.796476242533
247.5,1,27422.272710478668
248.5,1,27568.493904801428
249.5,1,27730.501501274757
250.5,1,27957.92863394054
251.5,1,27918.435731775786
252.5,1,27680.421408707793
253.5,1,27742.166988078538
254.5,1,27955.901018106175
255.5,1,27938.67649607999
256.5,1,27836.517496838005
257.5,1,27930.762677040453
258.5,1,28073.350510125474
259.5,1,28158.42426090376
260.5,1,28302.52427500961
261.5,1,28214.27278643308
262.5,1,27934.71923131073
263.5,1,27840.029506435963
264.5,1,27881.96172517783
265.5,1,27916.809113881052
266.5,1,27920.505468965002
267.5,1,27836.41205164341
268.5,1,27798.161786861547
269.5,1,27717.817559332307
270.5,1,27402.861519181337
271.5,1,27366.045129021015
272.5,1,27568.86594218917
273.5,1,27909.720843140407
274.5,1,28155.59584332502
275.5,1,28047.718506040725
276.5,1,27764.376203860615
277.5,1,27754.10849832122
278.5,1,28048.694628551217
279.5,1,28289.659755513185
280.5,1,28573.527285358912
281.5,1,28845.41875416538
282.5,1,28737.37202315397
283.5,1,28761.576050641197
284.5,1,28950.287426258885
285.5,1,29184.001518182034
286.5,1,29336.24844901571
287.5,1,29532.718757679853
288.5,1,29412.63681880602
289.5,1,29287.863185979597
290.5,1,29214.499409724176
291.5,1,29258.805665509324
292.5,1,29218.720493621528
293.5,1,29122.66521015808
294.5,1,28914.91677273382
295.5,1,28644.539043366007
296.5,1,28359.16383984693
297.5,1,28357.809377944614
298.5,1,28630.265245191866
299.5,1,28818.750791606333
300.5,1,28813.180730236418
301.5,1,28949.305158022784
302.5,1,29197.356997936844
303.5,1,29334.78743292724
304.5,1,29193.112517668895
305.5,1,28900.453671979118
306.5,1,28992.764356061187
307.5,1,29332.23490088797
308.5,1,29433.24510120373
309.5,1,29449.797176586842
310.5,1,29303.254372562744
311.5,1,29061.24052599221
312.5,1,29064.117260273037
313.5,1,29312.38631062396
314.5,1,29452.723759314988
315.5,1,29548.45955304744
316.5,1,29608.531510974164
317.5,1,29592.598376195252
318.5,1,29778.92059731365
319.5,1,29881.89383588744
320.5,1,29724.205128492435
321.5,1,29626.50037731389
322.5,1,29529.951251647515
323.5,1,29641.07286600652
324.5,1,29803.49394863024
325.5,1,29800.75884822819
326.5,1,29915.760140331557
327.5,1,29912.00653176533
328.5,1,29769.735423583556
329.5,1,29518.990702069572
330.5,1,29515.326827938654
331.5,1,29707.36912704665
332.5,1,29878.770375011263
333.5,1,29836.19749941202
334.5,1,29723.507291350852
335.5,1,29766.91357551101
336.5,1,29829.092391176186
337.5,1,29882.444347114728
338.5,1,29961.07488653906
339.5,1,30159.0028191997
340.5,1,30121.153258242837
341.5,1,29885.36219601164
342.5,1,29948.124678035914
343.5,1,30157.35430594712
344.5,1,30291.934429834007
345.5,1,30463.888697828585
346.5,1,30640.73835820674
347.5,1,30486.73272685641
348.5,1,30180.16786228662
349.5,1,29890.128989028217
350.5,1,29885.178743379627
351.5,1,29826.488335290087
352.5,1,29683.79938806789
353.5,1,29896.872630826627
354.5,1,30159.197783179814
355.5,1,30156.633741469686
356.5,1,30317.210794221897
357.5,1,30351.619794903494
358.5,1,29693.280996287223
359.5,1,29457.19248149901
360.5,1,29789.81940153393
361.5,1,29831.282573870216
362.5,1,29115.674959929733
363.5,1,28173.402239407547
364.5,1,28036.38269289088
0.5,2,29761.064218057018
1.5,2,29766.23692428875
2.5,2,29649.212297873986
3.5,2,29534.526262880256
4.5,2,29475.850898197426
5.5,2,29199.917259074926
6.5,2,29058.98081883907
7.5,2,29135.766285078473
8.5,2,29381.837854246834
9.5,2,29568.013714191307
10.5,2,29606.338969758253
11.5,2,29603.683806592482
12.5,2,29686.568315393928
13.5,2,29568.500183337263
14.5,2,29374.636502690013
15.5,2,29253.048137286874
16.5,2,29440.976137670623
17.5,2,29708.00326795958
18.5,2,29728.03626316356
19.5,2,29639.65327896278
20.5,2,29640.874442556375
21.5,2,29786.092040582604
22.5,2,29916.34728956222
23.5,2,29742.632220512307
24.5,2,29431.88331932771
25.5,2,29378.629825797037
26.5,2,29477.108948614892
27.5,2,29487.982928520538
28.5,2,29484.78689955879
29.5,2,29488.770228900663
30.5,2,29329.460576617632
31.5,2,29255.303082464397
32.5,2,29294.208459869307
33.5,2,29255.1197359341
34.5,2,29215.196671685764
35.5,2,29102.698206173463
36.5,2,28909.12750638182
37.5,2,28708.044976667297
38.5,2,28673.86304108676
39.5,2,28775.721266334574
40.5,2,28721.961921806633
41.5,2,28556.911332771066
42.5,2,28336.799001822954
43.5,2,28218.933077369224
44.5,2,27952.426934946332
45.5,2,27712.969726370062
46.5,2,27561.446575483296
47.5,2,27614.78557619871
48.5,2,27721.669206896528
49.5,2,27797.36635840205
50.5,2,27921.70174792129
51.5,2,28196.020681908907
52.5,2,28545.999899946502
53.5,2,28698.60266393106
54.5,2,28743.341457441253
55.5,2,28656.301909031594
56.5,2,28739.28246585112
57.5,2,28800.987791828564
58.5,2,28830.974678835468
59.5,2,28658.364846481192
60.5,2,28773.026307221404
61.5,2,29065.413822741186
62.5,2,28999.864162407703
63.5,2,28651.441626070784
64.5,2,28615.639526940355
65.5,2,28668.96985773207
66.5,2,28699.67020572186
67.5,2,28787.953974305503
68.5,2,28794.66751406153
69.5,2,28781.19356290325
70.5,2,28681.338552540146
71.5,2,28467.575341179312
72.5,2,28505.100599528603
73.5,2,28777.07249876378
74.5,2,28947.728492673898
75.5,2,28940.935412106595
76.5,2,28954.249270937475
77.5,2,29055.777182781367
78.5,2,29145.650532089287
79.5,2,29146.55420392035
80.5,2,29096.812946956154
81.5,2,29098.999329761715
82.5,2,28925.873846012757
83.5,2,28708.386020104914
84.5,2,28537.248369809768
85.5,2,28321.41951141403
86.5,2,28148.420249716677
87.5,2,28137.784035146782
88.5,2,28154.377820753103
