x,y
0.5,43489.643897214504
1.5,42720.28855237084
2.5,42293.03420795357
3.5,41952.08441725491
4.5,42292.56810023988
5.5,43897.62565269594
6.5,46391.37730134395
7.5,46911.95414570876
8.5,46027.48991503723
9.5,47418.35510042387
10.5,49307.51696658054
11.5,46591.366248446364
12.5,47060.292857931716
13.5,48339.4003173188
14.5,48898.22292393587
15.5,49410.84471999963
16.5,51100.29734211573
17.5,50851.40592475963
18.5,52281.2822186063
19.5,51527.07228347065
20.5,51149.857500533755
21.5,51367.02887613098
22.5,48974.639442145555
23.5,46570.94633465039
