x,variable,value
0.5,1,51358.5614756097
1.5,1,54613.99301684819
2.5,1,59340.32904284691
3.5,1,62133.71112311051
4.5,1,62600.41769369699
5.5,1,62660.266620864866
6.5,1,62408.396378713995
7.5,1,63416.47180636922
8.5,1,64962.13814224542
9.5,1,65334.259029425935
10.5,1,65610.45784627504
11.5,1,65983.34030308976
12.5,1,65103.44865037586
13.5,1,62955.36287099311
14.5,1,61448.56650706987
15.5,1,61360.57041229515
16.5,1,61790.80074768556
17.5,1,62082.972155165764
18.5,1,61995.117200126486
19.5,1,61322.86630271039
20.5,1,60271.00351952418
21.5,1,60649.942996628284
22.5,1,62643.497404583264
23.5,1,64695.77876893945
24.5,1,65034.56222681024
25.5,1,64313.085994263274
26.5,1,63301.4338428789
27.5,1,62831.2748110489
28.5,1,63830.035638156245
29.5,1,64615.2751219156
30.5,1,64437.809663965876
31.5,1,63195.14870097864
32.5,1,62297.79948018777
33.5,1,61536.23894584417
34.5,1,60290.2586774113
35.5,1,58981.34984229709
36.5,1,58009.86280376179
37.5,1,56289.992303458734
38.5,1,54353.95710175992
39.5,1,51209.95493610208
40.5,1,48359.80859055191
41.5,1,45717.25569543984
42.5,1,43372.21634948659
43.5,1,39625.89076750401
44.5,1,35911.085968072206
45.5,1,33046.94635806515
46.5,1,32208.419903307422
47.5,1,32030.57992145948
48.5,1,32683.449500282015
49.5,1,33520.17333235746
50.5,1,34568.57746622064
51.5,1,36041.58972092188
52.5,1,38389.34724061021
53.5,1,40851.05394620452
54.5,1,43301.91747429565
55.5,1,45070.96705116809
56.5,1,46916.845272923
57.5,1,48706.26376523209
58.5,1,49867.98120736875
59.5,1,51381.54121821708
60.5,1,52293.11605114364
61.5,1,52534.53339878332
62.5,1,52270.69885900913
63.5,1,53462.984485276254
64.5,1,54699.962193006024
65.5,1,56765.840526979584
66.5,1,57714.90891491839
67.5,1,57995.7809273296
68.5,1,56488.77446353029
69.5,1,55073.2331071364
70.5,1,54679.341876837
71.5,1,55123.1856632298
72.5,1,55550.19460540566
73.5,1,56096.95361499852
74.5,1,56982.79014589788
75.5,1,57110.41403325597
76.5,1,56049.951460480035
77.5,1,56528.538550862366
78.5,1,58656.39718985292
79.5,1,60064.428003946974
80.5,1,59987.156673060184
81.5,1,59096.4767803753
82.5,1,57515.21387576776
83.5,1,55733.83207071133
84.5,1,55808.06221785327
85.5,1,56809.31159868598
86.5,1,57032.12403227789
87.5,1,57031.11528205696
88.5,1,56888.715229023706
89.5,1,56396.41260835388
90.5,1,55536.59119619886
91.5,1,55546.713216417585
92.5,1,55700.356417038514
93.5,1,53379.303331785646
94.5,1,51530.673743421685
95.5,1,51214.038040351574
96.5,1,53785.98275366513
