x,y
0.5,10874.50259537138
1.5,10351.327452287596
2.5,10070.972625082592
3.5,10116.213710276097
4.5,10032.599095920912
5.5,10395.962409987389
6.5,11471.056786279181
7.5,11918.703152954728
8.5,12530.848471459727
9.5,12947.457596852597
10.5,13856.417732359354
11.5,14134.852369898364
12.5,12081.048661046292
13.5,12235.28512296244
14.5,12645.179139049897
15.5,13192.913191020582
16.5,13960.825672756217
17.5,14899.101430961911
18.5,15222.961569833804
19.5,14729.505214521027
20.5,14433.367517007851
21.5,13745.504927741053
22.5,12468.723317102782
23.5,11461.87540767878
