x,y
0.5,24332.51247727697
1.5,23936.350461701855
2.5,23372.936557444846
3.5,23300.393677282595
4.5,23325.191754176416
5.5,24113.559897146668
6.5,25055.588596935668
7.5,24784.230845143185
8.5,25863.768163260043
9.5,27012.194132204386
10.5,27467.168404554868
11.5,26791.96537509956
12.5,26355.603664383172
13.5,26929.055927096608
14.5,26996.7850439607
15.5,27150.098280072718
16.5,27042.852730731163
17.5,26337.263342460818
18.5,26008.48460533695
19.5,26434.273390305134
20.5,26617.044861753482
21.5,27655.692744660842
22.5,26572.73586914447
23.5,25165.603270769203
