x,y
0.5,21365.19945400784
1.5,21191.714598395258
2.5,20991.357317195227
3.5,20874.434738523825
4.5,21017.73843439564
5.5,21504.484817684697
6.5,22696.864902025507
7.5,21270.864584937568
8.5,21157.622924330262
9.5,21664.499053221254
10.5,21910.659580565112
11.5,21320.10020388085
12.5,21233.346294981755
13.5,21196.68887581573
14.5,21238.195292275064
15.5,21621.50047285942
16.5,22526.193749387367
17.5,22651.30462582725
18.5,23007.849747543572
19.5,23076.79438913079
20.5,22962.312305483054
21.5,24627.586034978478
22.5,23822.154124283217
23.5,22618.72202724451
