x,variable,value
0.5,1,23689.173137416183
1.5,1,24438.289276081712
2.5,1,24817.92751361044
3.5,1,24924.950232434436
4.5,1,24858.91047030479
5.5,1,24725.503227604648
6.5,1,24699.591682592752
7.5,1,24892.09988623188
8.5,1,25208.78533453064
9.5,1,25391.62535401772
10.5,1,25350.310563016683
11.5,1,25133.80155562858
12.5,1,24861.28278854904
13.5,1,24753.002708344706
14.5,1,24842.161763386837
15.5,1,24970.071337548845
16.5,1,24871.752416277373
17.5,1,24826.01586418622
18.5,1,24684.905809165677
19.5,1,24637.32439682464
20.5,1,24898.09959792775
21.5,1,25323.513274741854
22.5,1,25462.10643692207
23.5,1,25749.650814805682
24.5,1,25964.528008065765
25.5,1,25848.35224071582
26.5,1,25723.591957070163
27.5,1,25725.979339136094
28.5,1,25820.97185419682
29.5,1,25778.288137221498
30.5,1,25553.265608168225
31.5,1,25315.791711656024
32.5,1,25304.793679090628
33.5,1,25115.37533082244
34.5,1,24965.8394332925
35.5,1,24959.89941893652
36.5,1,24777.062749884626
37.5,1,24637.489722748214
38.5,1,24358.2326891477
39.5,1,23855.609152893958
40.5,1,23659.693089938017
41.5,1,23317.991943762292
42.5,1,22830.150324663402
43.5,1,21868.799505560848
44.5,1,20811.99541633568
45.5,1,20032.655069268352
46.5,1,20014.99782100563
47.5,1,20246.13703967456
48.5,1,20607.772899245756
49.5,1,20936.242263891716
50.5,1,21080.61653899147
51.5,1,21353.581570877093
52.5,1,22007.053670299712
53.5,1,22677.16161325149
54.5,1,22764.939289443548
55.5,1,22707.486579645065
56.5,1,22856.760220542306
57.5,1,23033.036267060394
58.5,1,23398.44033398434
59.5,1,23675.12721179273
60.5,1,23578.7331156643
61.5,1,23394.059921091008
62.5,1,23579.159220489753
63.5,1,23924.957153248386
64.5,1,24094.546237418937
65.5,1,24322.040339215455
66.5,1,24403.030361566594
67.5,1,24354.751640127677
68.5,1,24120.83435766042
69.5,1,24118.966505196313
70.5,1,24068.597717401397
71.5,1,23727.64548767203
72.5,1,23636.88722652711
73.5,1,23744.33088831703
74.5,1,23739.46051937047
75.5,1,23692.925137908016
76.5,1,23892.057917925125
77.5,1,24071.64824451914
78.5,1,23848.902531409116
79.5,1,23699.561379325256
80.5,1,23697.931676165834
81.5,1,23649.880316711373
82.5,1,23459.478024665088
83.5,1,23230.05601341719
84.5,1,23122.81421711746
85.5,1,23010.475521346834
86.5,1,22791.653249794163
87.5,1,22560.78158885427
88.5,1,22432.14460445175
89.5,1,22204.333974445148
90.5,1,21954.96397214038
91.5,1,22081.161699953096
92.5,1,22389.947787187062
93.5,1,22322.881366636648
94.5,1,22027.879537154735
95.5,1,22148.44609954003
96.5,1,22563.706940664582
97.5,1,22654.29734854496
98.5,1,22478.33780778619
99.5,1,22288.15475100827
100.5,1,22227.781336660006
101.5,1,22231.098987265745
102.5,1,22107.993502045894
103.5,1,22017.071899501938
104.5,1,21945.178325962035
105.5,1,22047.660022341315
106.5,1,22178.522022533773
107.5,1,22085.594152867357
108.5,1,22088.420814320074
109.5,1,21919.35144248881
110.5,1,21759.005951121217
111.5,1,21705.153949324773
112.5,1,21884.392661447004
113.5,1,21992.01331731294
114.5,1,21901.87975901494
115.5,1,21994.207076630682
116.5,1,21895.70502750832
117.5,1,21578.152885168554
118.5,1,21125.519798258174
119.5,1,20736.72237591592
120.5,1,20563.497792914404
