x,variable,value
0.5,1,18495.571292324003
1.5,1,19038.80061419489
2.5,1,19616.010986861336
3.5,1,20244.452425438292
4.5,1,20300.17626999843
5.5,1,20243.245358887725
6.5,1,20281.085292975054
7.5,1,20529.20803081846
8.5,1,20957.699197606307
9.5,1,21124.645571948513
10.5,1,21116.317414358564
11.5,1,21009.310169501437
12.5,1,20902.05999094539
13.5,1,20692.01691204792
14.5,1,20518.977120201176
15.5,1,20602.102506799056
16.5,1,20642.41393880817
17.5,1,20410.957317853896
18.5,1,20188.20978953723
19.5,1,20015.22048780507
20.5,1,19748.015489383073
21.5,1,19757.186658700077
22.5,1,19967.241462424176
23.5,1,20126.547840133415
24.5,1,20333.24593340623
25.5,1,20659.933766728635
26.5,1,20949.85930700008
27.5,1,20959.512077529525
28.5,1,20984.648590476674
29.5,1,21190.78666848116
30.5,1,21171.552243237616
31.5,1,20959.486968823974
32.5,1,20746.106541396213
33.5,1,20370.76268270415
34.5,1,20195.030212132675
35.5,1,19996.2774970248
36.5,1,19835.012571717776
37.5,1,19575.17590732236
38.5,1,19236.224263166474
39.5,1,18579.480046469376
40.5,1,18036.979551812856
41.5,1,17560.57796811424
42.5,1,16981.060395709774
43.5,1,16086.691585735407
44.5,1,14933.622266128912
45.5,1,14057.262308376992
46.5,1,13440.586085382907
47.5,1,13325.67116416906
48.5,1,13701.199033738934
49.5,1,14331.585820047978
50.5,1,14809.105057128383
51.5,1,15291.727947040612
52.5,1,15417.429471842792
53.5,1,15305.09859175167
54.5,1,15129.957468666484
55.5,1,15100.407682953875
56.5,1,15596.172713141565
57.5,1,16153.590070728826
58.5,1,16689.42211600635
59.5,1,16732.612926455135
60.5,1,16732.579533600812
61.5,1,16732.628318813167
62.5,1,16729.024402723993
63.5,1,16993.817845836722
64.5,1,17522.781371644232
65.5,1,18024.367427223493
66.5,1,18117.902060158664
67.5,1,17997.507841134164
68.5,1,17995.104394305778
69.5,1,17942.467077448622
70.5,1,17882.874964089962
71.5,1,18042.396649133367
72.5,1,18097.118693262822
73.5,1,18238.162260364352
74.5,1,18386.540421156074
75.5,1,18210.546731590766
76.5,1,17974.783391267054
77.5,1,17997.04688741586
78.5,1,18215.703837499084
79.5,1,18270.127749019994
80.5,1,18369.377106704524
81.5,1,18495.63380583117
82.5,1,18254.66163533808
83.5,1,18073.328484521226
84.5,1,18086.5813279532
85.5,1,18334.5858355605
86.5,1,18257.827543665408
87.5,1,18158.70825817495
88.5,1,18267.72766810232
89.5,1,18172.203583875922
90.5,1,17888.094831562343
91.5,1,17809.396867518182
92.5,1,17975.410137065865
93.5,1,17727.303185453133
94.5,1,17270.571127062376
95.5,1,16826.48029810782
96.5,1,16848.871051466896
97.5,1,17115.954996701574
98.5,1,17528.62396404479
99.5,1,18174.739858328394
100.5,1,18474.97370496793
101.5,1,18461.598470305686
102.5,1,18190.450396001586
103.5,1,17697.760349911918
104.5,1,17572.46941057625
105.5,1,17908.229424773377
106.5,1,18218.945240712175
107.5,1,18321.02053206026
108.5,1,18442.456098773415
109.5,1,18245.92532779955
110.5,1,17915.271686119682
111.5,1,17717.11823541045
112.5,1,17631.165665285534
113.5,1,17475.052338505848
114.5,1,17214.344903552697
115.5,1,17059.54951742701
116.5,1,17007.00964193333
117.5,1,16861.94057687082
118.5,1,16355.386786290173
119.5,1,15733.79251832799
120.5,1,15513.996738601869
121.5,1,15837.206560953913
122.5,1,16924.824285814277
123.5,1,17681.31481172647
124.5,1,17653.608413102684
125.5,1,17500.46010234354
126.5,1,17823.225440127888
127.5,1,18099.752305324575
128.5,1,17889.27252683817
129.5,1,17460.200263223804
130.5,1,17382.769338055627
131.5,1,17447.192731472496
132.5,1,17451.243471392158
133.5,1,17876.574892347842
134.5,1,18619.516122701767
135.5,1,18979.44239475556
136.5,1,19138.131330764572
137.5,1,19221.145358183214
138.5,1,18961.400497901373
139.5,1,18718.332531316886
140.5,1,18799.537376858618
141.5,1,18493.018818097542
142.5,1,17825.100567965423
143.5,1,17774.2458005704
144.5,1,17775.90374549128
145.5,1,17458.6833640796
146.5,1,17323.677980503817
147.5,1,17524.531409114184
148.5,1,17895.6029451302
149.5,1,18057.50186136458
150.5,1,17849.372462859945
151.5,1,17650.288168847914
152.5,1,17364.553978616892
153.5,1,17059.815875175842
154.5,1,17162.15653070516
155.5,1,17715.22084742222
156.5,1,18728.72352897581
157.5,1,19195.008424233267
158.5,1,18985.150256350687
159.5,1,18506.64287200564
160.5,1,18199.46916085894
161.5,1,18618.54749695659
162.5,1,18876.144609234165
163.5,1,18711.63542345908
164.5,1,18599.785492774372
165.5,1,18360.83847875944
166.5,1,17852.756153194845
167.5,1,17291.06636893057
168.5,1,17053.88432989626
169.5,1,17529.338152082393
170.5,1,18144.75693352865
171.5,1,18601.106931519542
172.5,1,18597.985593155776
173.5,1,18331.414424937033
174.5,1,18261.18359034681
175.5,1,19075.479852425786
176.5,1,19474.08073869448
177.5,1,20028.31873999511
178.5,1,19986.22355474231
179.5,1,20277.092651877436
180.5,1,20573.106028577644
181.5,1,20349.63104890398
182.5,1,19977.870232434747
183.5,1,19449.03429862959
184.5,1,18950.516954808278
185.5,1,18811.756526950252
186.5,1,18710.403468614466
187.5,1,18585.42184033038
188.5,1,18461.230931330847
189.5,1,18270.7886772484
190.5,1,18151.433482351447
191.5,1,17940.416922866665
192.5,1,17993.1579527526
193.5,1,18056.095045588932
194.5,1,17662.905118820556
195.5,1,17355.191070480847
196.5,1,18171.196140720756
197.5,1,19002.922882217834
198.5,1,20693.601718673726
199.5,1,22022.555053551958
200.5,1,23278.502331632873
201.5,1,23978.246907653505
202.5,1,24086.138775093477
203.5,1,24510.270672380047
204.5,1,24734.81961039222
205.5,1,24689.96193895227
206.5,1,24405.92432283295
207.5,1,23666.149417088156
208.5,1,22961.85864604446
209.5,1,22550.853759586455
210.5,1,22823.12001828937
211.5,1,22738.2403171451
212.5,1,22007.992913560498
213.5,1,21417.628610421507
214.5,1,21394.089484596374
215.5,1,21688.778872684295
216.5,1,22142.33963477642
217.5,1,22241.5648970908
218.5,1,22443.073793391515
219.5,1,22383.90091791943
220.5,1,22173.92358234859
221.5,1,22275.27735971566
222.5,1,22301.22269521069
223.5,1,22219.367976719004
224.5,1,22487.245506069103
225.5,1,23354.94454460435
226.5,1,24211.81473019392
227.5,1,24519.132620909095
228.5,1,24188.59021941331
229.5,1,23870.883612256588
230.5,1,24205.86132404974
231.5,1,24883.336489058285
232.5,1,24787.02467167829
233.5,1,23853.54558904298
234.5,1,23525.140294698853
235.5,1,23206.31213535416
236.5,1,22337.802756503002
237.5,1,22124.817894323005
238.5,1,23380.771643994718
239.5,1,25099.881677728874
240.5,1,25966.155749378384
241.5,1,26501.882893296926
242.5,1,26417.131462482193
243.5,1,26180.644753316632
244.5,1,25967.454663001805
245.5,1,25913.002982719703
246.5,1,25862.137847762056
247.5,1,24667.622431379335
248.5,1,23182.42144171557
249.5,1,21891.285340747883
250.5,1,20723.34055744194
251.5,1,20438.27897641105
252.5,1,20103.484792395036
253.5,1,19916.180141076784
254.5,1,19795.403543516913
255.5,1,19751.895300666776
256.5,1,19747.8334451262
257.5,1,19642.926074133975
258.5,1,19436.2106476746
259.5,1,19418.831209283406
260.5,1,19705.366642476234
261.5,1,19983.32381908224
262.5,1,20090.249488600948
263.5,1,19881.95537424145
264.5,1,19683.792873274102
265.5,1,19515.669661104224
266.5,1,19033.257460846897
267.5,1,18758.48688645888
268.5,1,19018.666205778536
269.5,1,19092.04283201496
270.5,1,19161.83345262903
271.5,1,19205.53297725575
272.5,1,18935.968853081504
273.5,1,18435.872721373693
274.5,1,18214.92844315837
275.5,1,18328.635861364928
276.5,1,18488.077808035625
277.5,1,18802.697323448083
278.5,1,19226.733753770928
279.5,1,19515.740868912293
280.5,1,19536.10699369089
281.5,1,19649.961257581992
282.5,1,19771.75065820416
283.5,1,20046.50648640099
284.5,1,20251.90509680781
285.5,1,20410.638724117274
286.5,1,20200.574766030335
287.5,1,20033.592750338805
288.5,1,20059.663748851377
289.5,1,20189.011296787266
290.5,1,20384.704605448886
291.5,1,20256.57138337137
292.5,1,20068.14854252824
293.5,1,19956.776971554482
294.5,1,19917.06753281335
295.5,1,20020.854212954615
296.5,1,20125.282789225777
297.5,1,20185.335929050492
298.5,1,20243.310035643197
299.5,1,20191.372480963786
300.5,1,20156.37636912567
301.5,1,20314.69442085164
302.5,1,20525.24252394848
303.5,1,20401.22845977269
304.5,1,20137.432323949055
305.5,1,20029.08647259127
306.5,1,19925.617762749727
307.5,1,19760.662165809215
308.5,1,19743.068687178777
309.5,1,19997.02565431885
310.5,1,20267.398946136833
311.5,1,20516.246482649018
312.5,1,20415.16284762835
313.5,1,20466.850046606916
314.5,1,20418.271425411644
315.5,1,20299.80306834264
316.5,1,20503.348342258785
317.5,1,20654.89958269202
318.5,1,20686.40234038944
319.5,1,20798.864344805526
320.5,1,20707.378555664138
321.5,1,20686.20481955149
322.5,1,20909.503388917416
323.5,1,21069.415553016548
324.5,1,21166.530876355795
325.5,1,21430.281874572698
326.5,1,21626.871212977636
327.5,1,21586.822349090377
328.5,1,21482.563445821223
329.5,1,21354.125989164946
330.5,1,21586.30407687027
331.5,1,21564.444630110032
332.5,1,21508.087158065315
333.5,1,21300.736257396326
334.5,1,21082.106459735343
335.5,1,21010.229009965722
336.5,1,21224.066058577766
337.5,1,21535.83817838641
338.5,1,21859.352023317784
339.5,1,22084.71504678454
340.5,1,22351.217872554113
341.5,1,22609.74653433539
342.5,1,22718.96045219249
343.5,1,22765.752736108218
344.5,1,23082.44380060934
345.5,1,23236.458196117386
346.5,1,23120.87461279715
347.5,1,23099.29328081337
348.5,1,23046.39784623069
349.5,1,22792.65711422799
350.5,1,22485.429495580323
351.5,1,22606.82814151204
352.5,1,22872.83752616835
353.5,1,22891.4217991059
354.5,1,22785.163438994867
355.5,1,22675.028872426494
356.5,1,22475.816726300014
357.5,1,22461.576348220748
358.5,1,22722.260038083165
359.5,1,22764.332626990355
360.5,1,22715.901240671054
361.5,1,22929.303855329395
362.5,1,23167.069689798253
363.5,1,22916.638242293
364.5,1,22731.088795646756
0.5,2,29209.61057868659
1.5,2,30233.294092836823
2.5,2,31866.11060616311
3.5,2,32566.812017113654
4.5,2,32520.451673158102
5.5,2,32550.409218313074
6.5,2,32773.203516914735
7.5,2,33047.9529302924
8.5,2,33448.5941025776
9.5,2,33358.81969909335
10.5,2,33162.36825438667
11.5,2,32879.77064824645
12.5,2,32509.855068132754
13.5,2,32455.50555257793
14.5,2,32517.09735410859
15.5,2,32344.18369266257
16.5,2,31924.160140638018
17.5,2,31416.895495166977
18.5,2,30905.778738234298
19.5,2,30628.592222510564
20.5,2,30655.29310981046
21.5,2,30936.472646336704
22.5,2,31735.194868464892
23.5,2,32689.071664409865
24.5,2,33511.53020130215
25.5,2,34248.555637787824
26.5,2,34374.66441480162
27.5,2,34536.30390796462
28.5,2,35053.44725027289
29.5,2,35032.19810888057
30.5,2,34735.24653341568
31.5,2,34264.93506151308
32.5,2,34052.93671218896
33.5,2,33993.20867052066
34.5,2,33912.17049025238
35.5,2,33759.033274541755
36.5,2,33536.86220201868
37.5,2,32978.53836222115
38.5,2,32106.42915178472
39.5,2,31001.711405867554
40.5,2,29918.971218800212
41.5,2,28914.861095692937
42.5,2,27813.79744891552
43.5,2,26545.06548459833
44.5,2,25119.077134188294
45.5,2,23027.15525107554
46.5,2,22401.184383796528
47.5,2,21685.09205379461
48.5,2,21985.189575577755
49.5,2,22672.554510452537
50.5,2,23358.730763887594
51.5,2,23999.02266473159
52.5,2,24530.068696352206
53.5,2,24936.44598157722
54.5,2,25067.05112107424
55.5,2,25135.900240609586
56.5,2,25317.46657283779
57.5,2,25575.663573861337
58.5,2,25660.184566813336
59.5,2,25549.169475704402
60.5,2,25124.601067507465
61.5,2,24743.292729108238
62.5,2,24926.45412445045
63.5,2,25639.61876089792
64.5,2,26463.368702784846
65.5,2,26898.85564739302
66.5,2,26720.639105047176
67.5,2,26418.637686643768
68.5,2,26377.906594643693
69.5,2,26593.172276410183
70.5,2,26809.161540786492
71.5,2,26828.460052192477
72.5,2,26663.133616971067
73.5,2,26677.954370237825
74.5,2,26627.982328742513
75.5,2,26353.1529429615
76.5,2,26278.54557727005
77.5,2,26438.590697745825
78.5,2,26595.355385302566
79.5,2,26703.451399336078
80.5,2,26701.456170782796
81.5,2,26597.426375171537
82.5,2,26402.359371954626
83.5,2,26383.381144808347
84.5,2,26436.244618960092
85.5,2,26413.935908067764
86.5,2,26426.73221292214
87.5,2,26485.052643684696
88.5,2,26428.921630262077
89.5,2,26426.44321707463
90.5,2,26428.408128826395
91.5,2,26520.036095287476
92.5,2,26322.17297474833
93.5,2,25563.414881040848
94.5,2,25153.464717523566
95.5,2,24398.262814430822
96.5,2,24800.715476847858
97.5,2,25441.947039678646
98.5,2,26209.54015141243
99.5,2,26315.813014724332
100.5,2,26434.297370909797
101.5,2,26323.377195253343
102.5,2,26067.65722706344
103.5,2,25699.7948369058
104.5,2,25744.786283818234
105.5,2,26080.343666854078
106.5,2,26320.331153311163
107.5,2,26318.356551090976
108.5,2,26366.010397393682
109.5,2,26494.06609420212
110.5,2,26383.874211079765
111.5,2,26306.491399994364
112.5,2,25907.66259511779
113.5,2,25491.863587222826
114.5,2,24931.90908337768
115.5,2,24782.959533260215
116.5,2,24731.6178618679
117.5,2,24375.038953399246
118.5,2,23373.92793080113
119.5,2,22562.37576990942
120.5,2,22606.635754961404
121.5,2,23693.431792705425
122.5,2,25556.22228784724
123.5,2,26140.964172258253
124.5,2,25927.559062017066
125.5,2,25882.295747394455
126.5,2,26144.679126662355
127.5,2,26189.1854824136
128.5,2,25546.80755234571
129.5,2,25205.47073110792
130.5,2,25274.344734526112
131.5,2,25572.63934159283
132.5,2,26057.920052464524
133.5,2,26509.1390144971
134.5,2,27372.981741417385
135.5,2,27687.38086840433
136.5,2,27651.229234677958
137.5,2,27501.580825594898
138.5,2,27119.6120835294
139.5,2,27268.6462819541
140.5,2,27691.893070852868
141.5,2,27129.526250219056
142.5,2,26717.340473402102
143.5,2,26105.91695207818
144.5,2,26155.989658149647
145.5,2,25990.733379148973
146.5,2,26073.474723427953
147.5,2,26428.741786658953
148.5,2,26758.15430731645
149.5,2,26738.219466869108
