x,y
0.5,10499.021191764203
1.5,10362.421960669617
2.5,10378.362632068543
3.5,10379.534905367173
4.5,10332.171281913446
5.5,10531.94585386784
6.5,10629.706778716096
7.5,10652.499206491397
8.5,10235.050167001029
9.5,10336.939269008395
10.5,10121.495148684804
11.5,10177.534275143667
12.5,9683.29492079492
13.5,10086.444557311172
14.5,10142.338008026165
15.5,10322.434039196361
16.5,10446.62651015458
17.5,10777.34250006974
18.5,11052.795896788395
19.5,11285.868781433943
20.5,11213.425839311569
21.5,10976.570167312395
22.5,10788.431447232819
23.5,10772.203762397725
