x,variable,value
0.5,1,7997.104689723833
1.5,1,8147.496342552081
2.5,1,8497.945903807284
3.5,1,8626.649553494886
4.5,1,8694.19253377845
5.5,1,8882.741425186061
6.5,1,9117.411251872383
7.5,1,8970.79916070967
8.5,1,8975.341743194807
9.5,1,9083.095025714447
10.5,1,9264.215583215017
11.5,1,9415.597995518427
12.5,1,9526.711009486975
13.5,1,9649.110266788419
14.5,1,9718.21134550274
15.5,1,9820.902098260496
16.5,1,10072.540714769733
17.5,1,10190.370832424154
18.5,1,10102.958449664973
19.5,1,9928.426222818904
20.5,1,9900.387666031796
21.5,1,9956.54128847054
22.5,1,10032.854966293497
23.5,1,10178.04645245676
24.5,1,10299.54924610783
25.5,1,10430.609648742815
26.5,1,10403.22292202485
27.5,1,10318.751546082707
28.5,1,10380.314848797865
29.5,1,10455.343991984619
30.5,1,10378.444993765366
31.5,1,10226.734315105183
32.5,1,10176.532316990904
33.5,1,10103.679177652031
34.5,1,10049.234625408217
35.5,1,10049.76280875974
36.5,1,10010.05729801547
37.5,1,9970.612588058057
38.5,1,10019.72203978214
39.5,1,10030.893968782912
40.5,1,9886.917555817006
41.5,1,9711.34015765269
42.5,1,9550.952581059295
43.5,1,9375.302171901085
44.5,1,9081.496561279742
45.5,1,8752.661484008378
46.5,1,8526.077065681833
47.5,1,8566.301386265639
48.5,1,8733.67930045355
49.5,1,8998.762546233802
50.5,1,9153.71453836334
51.5,1,9151.06069800578
52.5,1,9226.885291324013
53.5,1,9439.791446361121
54.5,1,9479.32482757973
55.5,1,9574.889612540714
56.5,1,9691.283635260032
57.5,1,9625.201990166488
58.5,1,9549.193085579704
59.5,1,9576.345825018732
60.5,1,9633.478972943207
61.5,1,9701.823887369024
62.5,1,9700.996270522737
63.5,1,9734.49781189367
64.5,1,9823.194233543505
65.5,1,9791.414624042922
66.5,1,9734.066840674617
67.5,1,9805.049016928779
68.5,1,9927.824351108959
69.5,1,9938.330621243022
70.5,1,9998.567527476982
71.5,1,10011.155311523455
72.5,1,9976.092277329633
73.5,1,10149.19002064188
74.5,1,10395.746889427857
75.5,1,10537.43793325725
76.5,1,10536.149940031148
77.5,1,10454.98183856389
78.5,1,10320.5822347014
79.5,1,10162.06380150606
80.5,1,10044.951039365946
81.5,1,9993.688874577561
82.5,1,10063.221353524295
83.5,1,10115.687150777778
84.5,1,10073.881227756363
85.5,1,9922.309095943008
86.5,1,9845.20941590982
87.5,1,9957.236474307996
88.5,1,10090.878236198108
89.5,1,10081.957416426903
90.5,1,10012.175297643991
91.5,1,9975.228751030654
92.5,1,9992.200019232334
93.5,1,10018.382209644527
94.5,1,9877.229527349606
95.5,1,9848.591732682424
96.5,1,9856.857415149674
97.5,1,9824.442592777865
98.5,1,9916.351955480757
99.5,1,10032.928033660626
100.5,1,10181.026781481669
101.5,1,10250.427376903777
102.5,1,10204.641370696927
103.5,1,10070.448162112969
104.5,1,10047.501486244215
105.5,1,10077.381079997618
106.5,1,10123.368179076017
107.5,1,10012.761160132157
108.5,1,9979.618766131178
109.5,1,10013.1905720885
110.5,1,10012.958034148469
111.5,1,10081.891175001516
112.5,1,10173.416131298249
113.5,1,10149.503368896383
114.5,1,10072.174281568005
115.5,1,9955.475776391439
116.5,1,9917.07075677822
117.5,1,9887.560672025265
118.5,1,9844.576657528727
119.5,1,9845.544868493505
120.5,1,9683.163799712607
121.5,1,9590.449521825587
122.5,1,9752.747624298574
123.5,1,9854.998169254912
124.5,1,9945.86149823492
125.5,1,9977.353590691111
126.5,1,9981.254209826246
127.5,1,9978.782556641545
128.5,1,9982.636903818107
129.5,1,9953.352548563504
130.5,1,9741.134174679384
131.5,1,9623.392720243204
132.5,1,9697.22821932145
133.5,1,9554.478277395297
134.5,1,9423.285075952048
135.5,1,9511.659178365546
136.5,1,9632.935713276156
137.5,1,9665.26085607386
138.5,1,9778.605464244665
139.5,1,9885.234807131668
140.5,1,9884.903561371664
141.5,1,9812.219229869677
142.5,1,9870.643479868493
143.5,1,9990.788781854817
144.5,1,10096.797519197404
145.5,1,10054.511436637935
146.5,1,9989.487924381096
147.5,1,9975.459966207718
148.5,1,9994.85549498386
149.5,1,10084.991694229784
150.5,1,10173.981661014575
151.5,1,10176.969532441894
152.5,1,10125.504688196608
153.5,1,10105.06571706944
154.5,1,10002.791458948417
155.5,1,9942.299419666884
156.5,1,10097.950340011736
157.5,1,10102.006741123081
158.5,1,10009.368870621036
159.5,1,9903.664714737673
160.5,1,9904.482963143171
161.5,1,9866.012832240594
162.5,1,9876.398217217948
163.5,1,9930.589422388079
164.5,1,9980.253802779373
165.5,1,10107.479761174138
166.5,1,10275.346138529989
167.5,1,10324.939443189742
168.5,1,10266.577727299564
169.5,1,10142.289299482725
170.5,1,10093.95264970901
171.5,1,9989.1676669294
172.5,1,9868.316566381221
173.5,1,9864.24829928999
174.5,1,9901.310288155206
175.5,1,9874.517509187095
176.5,1,9865.098422958665
177.5,1,9924.25997658286
178.5,1,10030.119870447797
179.5,1,10064.30459772507
