x,y
0.5,8077.540801574024
1.5,7994.542963481278
2.5,7966.418290814336
3.5,7941.234268434471
4.5,7962.790825522979
5.5,8072.838408690728
6.5,8167.156519134838
7.5,8270.133514787078
8.5,8466.937016630603
9.5,8282.146465227152
10.5,8180.208206075642
11.5,8250.270608595454
12.5,8194.492169347426
13.5,8224.744372301955
14.5,8138.1656755877175
15.5,8103.891486975365
16.5,8110.806644365086
17.5,8379.626385906853
18.5,8325.582645353039
19.5,8380.577209643681
20.5,8390.940376922457
21.5,8292.980559699237
22.5,8095.545955454171
23.5,8191.961553613635
