x,y
0.5,19300.297400650794
1.5,18812.953025784253
2.5,18351.328727699158
3.5,18236.525308599805
4.5,18097.20690705476
5.5,18202.436227578946
6.5,19048.378613436114
7.5,19494.97102839243
8.5,20929.094162453956
9.5,21894.97158354055
10.5,22459.48777881085
11.5,24044.240359975192
12.5,22056.24439845589
13.5,21744.60019523136
14.5,21871.015343748448
15.5,22642.850074574613
16.5,22923.509945329744
17.5,23595.810689489717
18.5,23365.808904704416
19.5,23923.519122602254
20.5,23600.805045102286
21.5,22314.547442744217
22.5,20496.79758178883
23.5,19878.214063988125
