x,y
0.5,58289.47879929972
1.5,57083.67952851956
2.5,55314.38905034143
3.5,54372.70632948782
4.5,53917.01571188349
5.5,54698.92014339354
6.5,56777.42141882859
7.5,56526.748368687695
8.5,60632.09336741859
9.5,63372.08178851021
10.5,64793.48475647706
11.5,65765.69190613742
12.5,64911.574898137704
13.5,65347.50236270716
14.5,66192.71934091562
15.5,66136.78196675042
16.5,65107.70320288851
17.5,63979.506595056184
18.5,62070.26780777513
19.5,61587.78657048923
20.5,60951.30873957924
21.5,60469.401036278185
22.5,58420.33458964914
23.5,58497.9665143489
