x,variable,value
0.5,1,45772.350263498505
1.5,1,47121.76320478491
2.5,1,48765.78222539988
3.5,1,49936.27364645863
4.5,1,50129.878777985854
5.5,1,49893.82439963154
6.5,1,49319.87553401512
7.5,1,49296.499355966946
8.5,1,49873.9104413852
9.5,1,50231.10968906771
10.5,1,50569.915396057266
11.5,1,50332.76662635461
12.5,1,49011.5878965694
13.5,1,48152.12170085617
14.5,1,48298.54287323041
15.5,1,48863.23825936894
16.5,1,49202.09916116099
17.5,1,49104.591961564955
18.5,1,48976.106432077184
19.5,1,48607.46122951918
20.5,1,48236.36353175014
21.5,1,49202.1987619473
22.5,1,50592.36496428949
23.5,1,51635.02317143164
24.5,1,51854.03257450022
25.5,1,52079.03667635532
26.5,1,51572.892512191196
27.5,1,50740.94519745398
28.5,1,50449.632589800225
29.5,1,50770.3673555165
30.5,1,50857.85392263033
31.5,1,50393.121364419225
32.5,1,50236.903558159735
33.5,1,50224.37628182175
34.5,1,49436.689172173334
35.5,1,49095.91325893448
36.5,1,48385.7503031926
37.5,1,47395.91960899983
38.5,1,45772.950140314424
39.5,1,44217.79949902198
40.5,1,42071.6971119192
41.5,1,40377.303228286204
42.5,1,38542.590800242186
43.5,1,35969.99037146713
44.5,1,33761.70719118027
45.5,1,32138.376327936086
46.5,1,31524.016671050867
47.5,1,31074.2244782728
48.5,1,31168.784682395322
49.5,1,31724.402169234327
50.5,1,32629.179136700775
51.5,1,33782.03782770958
52.5,1,35214.99475732428
53.5,1,37919.17896211158
54.5,1,39624.473775790866
55.5,1,40930.52585767868
56.5,1,42100.0640539236
57.5,1,42850.901593338196
58.5,1,43584.27298263984
59.5,1,43572.05819336646
60.5,1,43182.84982811634
61.5,1,43022.802771353236
62.5,1,44486.98158267059
63.5,1,46418.67144165801
64.5,1,47880.064035946925
65.5,1,48562.2048808044
66.5,1,48694.41930831757
67.5,1,48571.134918928445
68.5,1,47858.655525648355
69.5,1,46464.48056880222
70.5,1,45974.36532032467
71.5,1,45636.91340351039
72.5,1,45634.025904441565
73.5,1,46788.75100831095
74.5,1,48486.72329986729
75.5,1,49161.21350137603
76.5,1,49080.273384316846
77.5,1,49244.01625047171
78.5,1,49833.991193050315
79.5,1,50486.41921716935
80.5,1,50453.41386356911
81.5,1,49673.93840504271
82.5,1,48586.10296445855
83.5,1,47516.62565940858
84.5,1,47175.21181137142
85.5,1,46898.93924880763
86.5,1,47098.88969372516
87.5,1,47774.9518561532
88.5,1,48178.27330692754
89.5,1,48168.32744289311
90.5,1,48054.464915473116
91.5,1,48156.927270531975
92.5,1,48287.30572198228
93.5,1,48072.99391156147
94.5,1,47441.88860257064
95.5,1,47346.1250376521
96.5,1,48315.077770266085
97.5,1,48865.950355395165
