x,y
0.5,10921.041605017686
1.5,10559.867930780281
2.5,10307.026328911608
3.5,10149.46055436626
4.5,10175.049418488166
5.5,10660.44638404353
6.5,10766.422988570674
7.5,11375.713536054174
8.5,12098.583924553132
9.5,12910.079212522201
10.5,13180.908231447116
11.5,13179.962841011775
12.5,12905.873014303046
13.5,13044.755740324234
14.5,12983.515242213707
15.5,13153.492322585123
16.5,13454.672300007336
17.5,13722.062295164622
18.5,14114.650053649873
19.5,13935.681533794403
20.5,13691.008186900313
21.5,13246.52228495333
22.5,12541.319639768131
23.5,11661.621813536325
