x,y
0.5,17960.519767545593
1.5,17182.07974126825
2.5,16357.299347903885
3.5,15800.446536287624
4.5,15288.475388293922
5.5,15257.902734748228
6.5,15957.528158808751
7.5,16277.00817990104
8.5,17651.17256682238
9.5,19064.625240461228
10.5,20080.35275342888
11.5,21066.21329738889
12.5,21708.56450974662
13.5,21809.29162744237
14.5,21816.27042296342
15.5,21686.20166093404
16.5,21458.729978602918
17.5,21539.9632412858
18.5,20657.69851433681
19.5,20402.285289134245
20.5,21576.831998437734
21.5,21535.472169114062
22.5,20335.342751508408
23.5,19102.210181642655
