x,y
0.5,11286.5007448389
1.5,10783.158924028481
2.5,10466.248016610563
3.5,10420.444680692515
4.5,10486.59544310216
5.5,10730.201830063219
6.5,11393.644394595447
7.5,12331.12406848766
8.5,12358.426607774802
9.5,12600.802081309499
10.5,12562.20020196288
11.5,12597.277390854879
12.5,12311.07514746086
13.5,12161.694534142936
14.5,12459.490015728908
15.5,12594.485211503828
16.5,12942.899350140975
17.5,13568.337146299404
18.5,13747.10735781561
19.5,14643.18094317863
20.5,14380.188388911436
21.5,13663.47139834052
22.5,12579.185449307763
23.5,12113.01011928493
