x,y
0.5,8840.671377473655
1.5,8619.552152663575
2.5,8520.402945077325
3.5,8385.510064059083
4.5,8206.645524839905
5.5,8396.586903515086
6.5,8952.2826462588
7.5,9640.89320441953
8.5,10927.407966546947
9.5,11476.613906676894
10.5,11974.480553867785
11.5,12063.715847543437
12.5,11686.065056671583
13.5,11979.413207237558
14.5,12014.373140906811
15.5,12030.441206391204
16.5,12051.595744165768
17.5,11693.40657357693
18.5,11362.125149191123
19.5,11288.107708795973
20.5,11164.892922705287
21.5,10852.399798371747
22.5,10160.892154611784
23.5,9545.042371678459
