x,y
0.5,8840.195956596775
1.5,8619.820783182322
2.5,8522.860533679775
3.5,8382.52428727307
4.5,8209.600079316018
5.5,8396.591160348278
6.5,8946.100830689498
7.5,9642.560474945349
8.5,10918.074300222217
9.5,11476.608865298651
10.5,11978.724759329063
11.5,12061.069927544577
12.5,11682.928241625073
13.5,11966.661172142494
14.5,12012.71218279943
15.5,12030.205048171905
16.5,12065.16744057505
17.5,11718.320110600373
18.5,11389.868250820457
19.5,11276.766339826418
20.5,11182.060303969212
21.5,10873.402363865156
22.5,10160.855680271185
23.5,9559.561157593138
