x,variable,value
0.5,1,7600.607622719349
1.5,1,8007.19022867175
2.5,1,8312.97653162243
3.5,1,8774.292503756098
4.5,1,8860.545718616091
5.5,1,8766.524245012413
6.5,1,8571.728917668821
7.5,1,8483.294792963869
8.5,1,8704.232145707367
9.5,1,8920.775726045265
10.5,1,9039.181202768297
11.5,1,9010.585817825393
12.5,1,8715.636406647283
13.5,1,8332.681108566667
14.5,1,8229.121273565921
15.5,1,8424.663363927102
16.5,1,8673.31918467288
17.5,1,8731.26006146522
18.5,1,8670.72862835863
19.5,1,8590.256201655131
20.5,1,8570.65654313566
21.5,1,8770.801602144778
22.5,1,8913.762227266012
23.5,1,9115.319912145284
24.5,1,9138.367377554048
25.5,1,9073.596933697723
26.5,1,8960.7443259224
27.5,1,8763.140873221433
28.5,1,8691.048140752857
29.5,1,8712.404842856811
30.5,1,8634.803566619503
31.5,1,8536.898925144886
32.5,1,8433.627072548075
33.5,1,8422.447177125227
34.5,1,8335.708488897824
35.5,1,8249.651027968388
36.5,1,8285.664105326148
37.5,1,8245.170861513252
38.5,1,8126.2136413884255
39.5,1,7933.276786114116
40.5,1,7723.693539491778
41.5,1,7547.214940343882
42.5,1,7271.561084344091
43.5,1,6916.523557943963
44.5,1,6499.569189700844
45.5,1,6254.872330081887
46.5,1,6127.13828860449
47.5,1,5994.602750311652
48.5,1,5935.446734629047
49.5,1,5957.704824706448
50.5,1,6077.623936042639
51.5,1,6220.558416775892
52.5,1,6434.609612430228
53.5,1,6725.988245625759
54.5,1,6995.143394519823
55.5,1,7310.803914733172
56.5,1,7397.980936728962
57.5,1,7491.095723079028
58.5,1,7671.964295808332
59.5,1,7622.343982001881
60.5,1,7478.85829378238
61.5,1,7318.413793864222
62.5,1,7345.808883677556
63.5,1,7654.530520889389
64.5,1,7951.686521231144
65.5,1,8177.050698867943
66.5,1,8290.3437508851
67.5,1,8239.987453859043
68.5,1,7988.656948186083
69.5,1,7636.015048369322
70.5,1,7429.776237189006
71.5,1,7367.871073534639
