x,y
0.5,23611.235037408307
1.5,23056.505245908676
2.5,22758.735292341014
3.5,22842.433713201506
4.5,22585.989347411236
5.5,22597.44515974572
6.5,22830.131844228403
7.5,22927.758636862945
8.5,23208.944633832336
9.5,23612.19615386507
10.5,23981.20580212039
11.5,24214.620883004824
12.5,24536.12520071887
13.5,24013.60885130469
14.5,23698.918767215728
15.5,23872.640555500428
16.5,24095.661442093042
17.5,24092.6348554435
18.5,24300.108005869362
19.5,24603.555158833027
20.5,24819.559584235707
21.5,24559.71215270896
22.5,24423.958706961
23.5,24052.91508806322
