x,variable,value
0.5,1,606.0855657472675
1.5,1,602.3470323327216
2.5,1,610.4409613674304
3.5,1,632.347681010074
4.5,1,646.3638868954996
5.5,1,662.1897332806852
6.5,1,675.6186005936944
7.5,1,683.3060363374314
8.5,1,682.0892928144602
9.5,1,659.172895983087
10.5,1,642.1563140660076
11.5,1,611.8703278448239
12.5,1,594.3445151167513
13.5,1,579.0814557051287
14.5,1,577.6810967142663
15.5,1,583.1734699442464
16.5,1,583.0030360301274
17.5,1,576.4695853563705
18.5,1,573.4693108059087
19.5,1,576.7025895705128
20.5,1,574.9767287034393
21.5,1,580.1776583343507
22.5,1,584.3627705835426
23.5,1,574.6900860708022
24.5,1,560.2577681801121
25.5,1,564.1593352088203
26.5,1,578.8519773770569
27.5,1,592.3412213611597
28.5,1,586.6955840949865
29.5,1,570.6006564686652
30.5,1,551.109388122733
31.5,1,536.9228588233268
32.5,1,535.7571015796294
33.5,1,544.965882093957
34.5,1,543.3786048792178
35.5,1,536.5237677483498
36.5,1,518.5770386134616
37.5,1,502.12711068895305
38.5,1,497.8853598768235
39.5,1,498.11701030454896
40.5,1,505.34395857523475
41.5,1,510.76839124015686
42.5,1,514.2382596987045
43.5,1,509.01764907599073
44.5,1,507.38012202588607
45.5,1,499.4245984495917
46.5,1,477.63502735309686
47.5,1,454.53382251581434
48.5,1,454.42711382262314
49.5,1,467.32479728237956
50.5,1,481.3932375619443
51.5,1,495.7017834265014
52.5,1,499.60918057800524
53.5,1,500.0875560539728
54.5,1,498.7207518890661
55.5,1,504.2479814118974
56.5,1,505.73247599841324
57.5,1,513.0888032734032
58.5,1,518.6314899850443
59.5,1,523.7175763588034
60.5,1,521.9916547317594
61.5,1,514.9956511595639
62.5,1,510.8653733018704
63.5,1,516.5271274224754
64.5,1,533.7898243298426
65.5,1,546.4507335934411
66.5,1,547.3188206214413
67.5,1,543.9540405103917
68.5,1,552.3639261797391
69.5,1,571.36150109889
70.5,1,582.2480261733066
71.5,1,578.5257602680757
72.5,1,582.3026490377897
73.5,1,578.3362913139509
74.5,1,571.1862241598355
75.5,1,574.5470161117289
76.5,1,581.5307018051207
77.5,1,584.5674544057406
78.5,1,595.2609052789569
79.5,1,600.5656539305487
80.5,1,593.7409975743402
81.5,1,586.2458380094691
82.5,1,584.419637601528
83.5,1,574.6424852408605
84.5,1,565.5021273993349
85.5,1,568.9804696150024
86.5,1,575.312829755884
87.5,1,570.8740793725111
88.5,1,571.7135560853338
89.5,1,591.0904854690182
90.5,1,602.4363317167373
91.5,1,595.9835758147522
92.5,1,583.2655541936542
93.5,1,580.2571815014376
94.5,1,582.1898870039882
95.5,1,582.6250522170518
