x,y
0.5,13995.56187962861
1.5,13280.331639979613
2.5,12894.23558893229
3.5,12731.733476081752
4.5,12616.708175485568
5.5,12709.10966854812
6.5,13225.998841688788
7.5,14282.78178902753
8.5,15793.973876571357
9.5,16873.11572984431
10.5,17568.54254378904
11.5,17533.776273373103
12.5,16114.938949457872
13.5,15478.02693741299
14.5,15470.281017734384
15.5,15671.810215582756
16.5,16560.52641232038
17.5,17962.63949660123
18.5,17621.886541417363
19.5,17337.166157461117
20.5,16884.64468661319
21.5,16419.093906115533
22.5,15341.429407498268
23.5,14281.338185560184
