x,y
0.5,28534.62496959113
1.5,27672.88527174405
2.5,26881.87163474964
3.5,26629.07553363743
4.5,26717.48684187802
5.5,27735.111366478763
6.5,30285.358075456134
7.5,32880.95407651924
8.5,34397.34318717388
9.5,35797.87152246625
10.5,36947.70048231586
11.5,34402.623490527505
12.5,34308.25744614021
13.5,35203.55958284391
14.5,35519.855182957894
15.5,36250.44084415439
16.5,37734.97799046463
17.5,36877.94386663634
18.5,37707.31486386253
19.5,36746.93560855691
20.5,36249.74929357832
21.5,35965.485111106
22.5,35331.108266478914
23.5,32960.64069741076
