x,variable,value
0.5,1,33498.739701635976
1.5,1,35084.930225359494
2.5,1,38279.09104590237
3.5,1,39363.52389900799
4.5,1,39941.13716959056
5.5,1,39765.08355421791
6.5,1,39368.9669980121
7.5,1,40017.130364414144
8.5,1,41059.63853626428
9.5,1,41205.15925468707
10.5,1,41334.31745426501
11.5,1,41678.781950757926
12.5,1,41464.25969296042
13.5,1,40364.70461272866
14.5,1,39111.88799087291
15.5,1,38306.087795685635
16.5,1,38115.949796978595
17.5,1,38004.16398115815
18.5,1,38261.22334889268
19.5,1,38092.133746369385
20.5,1,37648.68619855932
21.5,1,37756.59659992087
22.5,1,39066.28489554464
23.5,1,40219.365409123646
24.5,1,40718.491221773504
25.5,1,40877.40445721793
26.5,1,40573.14114541725
27.5,1,39796.44234732079
28.5,1,39860.414204953915
29.5,1,39950.18781502303
30.5,1,39285.89648785079
31.5,1,38087.75659770515
32.5,1,36419.40792779339
33.5,1,35055.01243737582
34.5,1,33782.32298259971
35.5,1,32381.329274508982
36.5,1,30646.517722876157
37.5,1,28953.379842227616
38.5,1,27182.94423448612
39.5,1,25414.269943001666
40.5,1,23629.24148417681
41.5,1,22499.82840918632
42.5,1,20883.09346581993
43.5,1,19498.088087176642
44.5,1,17542.27534029313
45.5,1,16593.915895520568
46.5,1,16054.837456891382
47.5,1,15731.530904828574
48.5,1,16071.016357324499
49.5,1,16391.12480494767
50.5,1,16922.433944917546
51.5,1,17503.240233900404
52.5,1,18599.416830014834
53.5,1,19722.891291914504
54.5,1,20770.372225053685
55.5,1,22242.77453519182
56.5,1,23557.979062445826
57.5,1,24442.99398795722
58.5,1,25566.265879266834
59.5,1,26668.846245094956
60.5,1,27581.932847859935
61.5,1,28124.964361893177
62.5,1,28464.168478306558
63.5,1,29670.10511652331
64.5,1,31342.499010300333
65.5,1,32736.455672990414
66.5,1,34075.21028278851
67.5,1,34878.7835140935
68.5,1,35036.77399972705
69.5,1,34288.59975999662
70.5,1,34305.15641802355
71.5,1,34964.19685762657
72.5,1,35170.49050012
73.5,1,35396.24006152805
74.5,1,36059.62568695295
75.5,1,36282.988781327855
76.5,1,35928.05066734024
77.5,1,36295.86739876481
78.5,1,37206.96183524852
79.5,1,38444.689487961514
80.5,1,38879.85894487423
81.5,1,38389.95612996231
82.5,1,37610.04575478756
83.5,1,36848.83678627286
84.5,1,36959.02761568796
85.5,1,37505.806978200875
86.5,1,37740.42176814986
87.5,1,37773.163536663495
88.5,1,37714.35700430697
89.5,1,37470.65198061167
90.5,1,36724.87367644038
91.5,1,36867.46429255985
92.5,1,37200.257806565525
93.5,1,36203.03368983986
94.5,1,34419.990913486436
95.5,1,34161.05840860267
96.5,1,36374.89787022694
97.5,1,37495.58044483167
98.5,1,37814.35381545017
99.5,1,38125.3599885987
100.5,1,38103.02806363366
101.5,1,38117.73061282594
102.5,1,38116.14419418229
103.5,1,38033.13046107759
104.5,1,37384.72773679573
105.5,1,37156.379539714675
106.5,1,37920.829312147194
107.5,1,38368.39277361173
108.5,1,38319.43778020007
109.5,1,38229.11198124769
110.5,1,38114.277028111974
111.5,1,37674.058020530974
112.5,1,37647.28436190179
113.5,1,38066.312569949834
114.5,1,38379.094079149945
115.5,1,38232.53019008941
116.5,1,38270.83670191332
117.5,1,38326.867652146655
