province,prefecture,2022-12,2022-11,2022-10,2022-9,2022-8,2022-7,2022-6,2022-5,2022-4,2022-3,2022-2,2022-1
河北省,全省,421.0,338.0,330.0,346.0,392.0,396.0,381.0,349.0,314.0,357.0,315.0,405.0
河北省,石家庄市,54.08,42.6,41.6,44.0,52.2,53.6,52.1,45.8,43.2,48.5,40.81875,52.48125
河北省,唐山市,85.1,73.1,72.4,74.3,78.0,81.9,78.6,78.7,68.4,73.3,64.925,83.475
河北省,秦皇岛市,18.38,15.2,15.0,15.5,17.2,17.3,15.1,15.0,13.8,15.9,14.0,18.0
河北省,邯郸市,43.28,35.8,35.3,37.7,42.7,40.3,44.6,36.0,32.2,39.9,34.78125,44.71875
河北省,邢台市,31.73,22.6,24.0,26.2,31.8,30.8,33.0,26.7,25.0,28.6,24.80625,31.89375
河北省,保定市,43.38,31.9,29.0,31.4,37.0,38.0,35.1,30.3,27.0,35.7,32.15625,41.34375
河北省,张家口市,21.66,18.2,15.6,15.6,17.9,19.2,16.5,16.3,15.5,18.1,16.75625,21.54375
河北省,承德市,22.83,18.9,16.2,16.6,18.0,18.1,17.1,17.2,16.5,18.1,16.45,21.15
河北省,廊坊市,32.61,25.9,26.0,28.6,32.7,33.0,29.5,26.7,21.3,23.5,22.88125,29.41875
河北省,沧州市,42.24,35.0,35.8,36.5,41.2,40.6,37.0,36.0,32.3,33.3,29.09375,37.40625
河北省,衡水市,15.91,12.9,13.1,13.7,15.7,15.7,16.0,14.0,13.5,15.3,11.68125,15.01875
山西省,全省,263.0,221.0,212.0,214.0,233.0,231.0,227.0,220.0,210.0,227.0,210.0,252.0
山西省,太原市,30.87,26.3,25.44,24.18,26.24,26.06,25.48,24.17,21.16,26.66,24.35454545,29.23
山西省,大同市,15.85387697,18.4643243,16.25330002,15.97124299,16.79091209,19.74588546,14.85437285,16.78144709,16.16243601,17.86424322,14.57179954,17.49
山西省,阳泉市,9.1,8.5,9.8,7.8,8.3,8.3,8.0,7.9,7.5,8.4,7.727272727,9.27
山西省,长治市,17.13371435,19.9548955,17.56538166,17.26055498,18.14639359,21.33991336,16.05352317,18.13616451,17.46718247,19.30637162,15.74813854,18.9
山西省,晋城市,16.2,12.6,13.1,16.6,15.7,17.3,17.4,18.1,17.4,15.5,14.63636364,17.56
山西省,晋中市,20.42528871,23.78844968,20.93988404,20.57649682,21.63251473,25.43954466,19.13758096,21.62032053,20.8228197,23.01533726,18.77352859,20.65088145
山西省,朔州市,11.9,9.8,9.4,9.38,14.68,12.14,10.9,8.64,8.26,8.92,9.672727273,11.61
山西省,运城市,34.69735951,28.8241846,26.64430154,26.75735832,32.5917462,31.49024719,32.64723833,29.84336263,28.50472306,29.94745928,26.90676204,32.29
山西省,忻州市,12.28517558,14.30801226,12.59468866,12.37612255,13.01128447,15.30109451,11.51065944,13.00395004,12.52427811,13.84300919,11.29169327,12.4208626
山西省,临汾市,44.9,16.9,17.6,22.0,23.4,7.6,30.5,19.2,18.9,18.7,18.72727273,22.47
山西省,吕梁市,32.58,20.54,24.15607984,22.91376606,23.39,23.8,23.6,23.5,22.9,24.5,22.13636364,26.56
内蒙古自治区,全省,391.0,360.0,360.0,344.0,356.0,356.0,340.0,344.0,325.0,345.0,318.0,361.0
内蒙古自治区,呼和浩特市,33.69,26.13,25.4,25.1,27.04,27.05,26.14,25.78,25.61,26.96,25.58050074,29.03949926
内蒙古自治区,包头市,80.52123771,83.56483688,83.80073894,71.47829515,73.51840015,64.17103108,61.09999384,64.75538762,60.6764527,63.55241211,58.79075994,66.74045389
内蒙古自治区,乌海市,20.52,23.07423985,23.13937802,19.73685808,20.30017962,18.25806452,18.48,19.8,18.37,19.81,17.89,19.97
内蒙古自治区,赤峰市,20.25786845,22.06138852,21.12366744,18.08006512,19.17953332,19.0896779,16.46706115,17.09563279,16.01878071,16.77804334,15.52095169,17.61969674
内蒙古自治区,通辽市,45.00145697,46.70245414,46.83429435,39.94756558,41.08773307,35.86370474,34.14737307,36.19028809,33.91066572,35.5179729,32.85679566,37.2996957
内蒙古自治区,鄂尔多斯市,78.4,73.1,73.2,72.2,74.2,76.9,73.4,73.0,70.2,74.9,66.92518409,75.97481591
内蒙古自治区,呼伦贝尔市,12.4,11.52,10.95,10.21,10.15,10.07,10.01,10.75,10.03,10.02,10.02706922,11.38293078
内蒙古自治区,巴彦淖尔市,13.42374253,14.07272131,13.11527133,12.89265273,13.26062968,11.57462999,11.02070217,12.22441377,11.32272073,12.1751435,11.76033165,13.35056517
内蒙古自治区,乌兰察布市,55.33,53.31,54.77,50.21,52.8,51.54,49.07,47.92,44.43,49.0,45.42388807,51.56611193
内蒙古自治区,兴安盟,6.54,5.71,4.98,4.14,4.23,4.41,4.25,4.33,4.61,5.19,4.778757879,5.424942121
内蒙古自治区,锡林郭勒盟,13.94178466,14.46876618,14.50961125,12.37605167,12.729284,11.11084134,10.57910908,11.21201928,10.50577539,11.00373106,9.98314141,11.75185921
内蒙古自治区,阿拉善盟,10.04,9.57,9.53,9.53,9.46,9.95,10.09,10.2,9.25,9.55,8.672726421,9.85
辽宁省,全省,245.0,220.0,207.0,194.0,213.0,217.0,201.0,200.0,186.0,222.0,203.0,242.0
辽宁省,沈阳市,41.1,35.5,32.0,29.5,34.5,34.9,29.8,29.5,25.5,33.6,33.4,40.8
辽宁省,大连市,42.4,38.7,36.4,33.7,38.7,38.5,34.4,35.3,34.1,38.9,35.3,41.61
辽宁省,鞍山市,29.24558529,26.56539688,25.5800335,25.96104067,25.16618087,24.26621565,26.39460056,25.98074794,22.893276,29.10763442,22.96652824,29.63873838
辽宁省,抚顺市,11.09,10.06,8.71,8.25,9.35,9.43,8.84,8.97,8.82,10.64,10.16,11.22
辽宁省,本溪市,13.35394942,12.13013734,11.68020643,11.85417972,11.49123545,11.08029855,12.05214932,11.86317834,10.45339482,13.29095909,10.48684283,13.5334687
辽宁省,丹东市,11.1,9.6,8.9,7.6,8.6,8.1,7.4,7.9,8.3,10.10540541,9.299129638,10.3
辽宁省,锦州市,9.805926623,8.6,8.204014939,7.295985061,8.0,8.047755492,7.552244508,7.04,7.415888224,8.915771695,9.030398682,10.0
辽宁省,营口市,24.31,23.07,22.73,21.53,23.39,24.52,22.95,22.01,21.65,21.32,22.56,24.97
辽宁省,阜新市,6.85,5.78,4.64,4.6,4.91,4.68,4.26,4.46,4.33,5.97,5.16,6.19
辽宁省,辽阳市,10.18,9.69,10.06,9.62,9.72,10.09,9.75,10.07,8.33,10.33,8.71,10.51
辽宁省,盘锦市,12.5,10.9,10.1,6.5,9.9,14.3,9.8,9.3,9.0,10.2,9.87,10.93
辽宁省,铁岭市,8.5,7.5,7.0,6.9,7.1,7.37,6.88,6.75,6.3,7.4,7.213559322,7.99
辽宁省,朝阳市,12.34,10.96,10.52,10.28,10.82,10.62,10.29,10.85,9.5,11.5,9.430177656,12.17
辽宁省,葫芦岛市,10.3,9.2,8.8,8.7,9.7,9.5,8.9,8.3,7.9,8.8,7.90213961,10.2
吉林省,全省,85.93,76.08,71.2,64.36,68.29,69.8,63.39,64.98,58.01,70.64,72.0,83.837
吉林省,长春市,30.77,27.29,24.58,21.73,23.82,24.31,21.46,20.58,16.89,23.84,26.479,30.832
吉林省,吉林市,15.58,14.59,13.94,12.61,12.74,13.51,12.54,12.45,11.8,13.2,13.386,15.586
吉林省,四平市,5.02,4.55,4.93,4.66,4.85,4.83,4.54,4.65,3.68,4.25,4.595,5.35
吉林省,辽源市,2.58,2.34,2.21,2.24,2.12,2.22,2.15,2.25,1.92,2.42,2.534,2.951
吉林省,通化市,4.54,4.07,3.66,3.95,3.87,3.76,3.79,3.69,3.95,4.41,4.094,4.767
吉林省,白山市,3.97,3.5,3.27,3.0,2.84,2.98,2.85,2.81,2.96,3.21,3.165,3.686
吉林省,松原市,7.02,6.06,5.38,4.64,5.23,5.23,4.81,5.06,4.74,5.66,6.062,7.058
吉林省,白城市,6.2,5.02,4.38,4.08,4.75,4.72,4.15,4.94,3.9,4.66,4.665,5.431
