,date,year,month,day,holiday
0,2010-02-14,2010,2,14,cny
1,2011-02-03,2011,2,3,cny
2,2012-01-23,2012,1,23,cny
3,2013-02-10,2013,2,10,cny
4,2014-01-31,2014,1,31,cny
5,2015-02-19,2015,2,19,cny
6,2016-02-08,2016,2,8,cny
7,2017-01-28,2017,1,28,cny
8,2018-02-16,2018,2,16,cny
9,2019-02-05,2019,2,5,cny
10,2020-01-25,2020,1,25,cny
11,2021-02-12,2021,2,12,cny
12,2022-02-01,2022,2,1,cny
13,2023-01-22,2023,1,22,cny
14,2024-02-10,2024,2,10,cny
15,2025-01-29,2025,1,29,cny
16,2026-02-17,2026,2,17,cny
17,2027-02-06,2027,2,6,cny
18,2028-01-26,2028,1,26,cny
19,2029-02-13,2029,2,13,cny
20,2030-02-03,2030,2,3,cny
21,2031-01-23,2031,1,23,cny
22,2032-02-11,2032,2,11,cny
23,2033-01-31,2033,1,31,cny
24,2034-02-19,2034,2,19,cny
25,2035-02-08,2035,2,8,cny
26,2036-01-28,2036,1,28,cny
27,2037-02-15,2037,2,15,cny
28,2038-02-04,2038,2,4,cny
29,2039-01-24,2039,1,24,cny
30,2040-02-12,2040,2,12,cny
31,2041-02-01,2041,2,1,cny
32,2042-01-22,2042,1,22,cny
33,2043-02-10,2043,2,10,cny
34,2044-01-17,2044,1,17,cny
35,2045-02-17,2045,2,17,cny
36,2046-02-06,2046,2,6,cny
37,2047-01-26,2047,1,26,cny
38,2048-02-17,2048,2,17,cny
39,2049-02-02,2049,2,2,cny
40,2050-01-23,2050,1,23,cny
41,2051-02-11,2051,2,11,cny
42,2052-02-01,2052,2,1,cny
43,2053-02-19,2053,2,19,cny
44,2054-02-08,2054,2,8,cny
45,2055-01-28,2055,1,28,cny
46,2056-02-15,2056,2,15,cny
47,2057-02-04,2057,2,4,cny
48,2058-01-24,2058,1,24,cny
49,2059-02-12,2059,2,12,cny
50,2060-02-02,2060,2,2,cny
